@relation Automobile.arff.pre.arff

@attribute att01 {alfa-romero,audi,bmw,chevrolet,dodge,honda,isuzu,jaguar,mazda,mercedes-benz,mercury,mitsubishi,nissan,peugot,plymouth,porsche,renault,saab,subaru,toyota,volkswagen,volvo}
@attribute att11 {diesel,gas}
@attribute att21 {std,turbo}
@attribute att31 {hardtop,wagon,sedan,hatchback,convertible}
@attribute att41 {4wd,fwd,rwd}
@attribute att51 {front,rear}
@attribute att61 numeric
@attribute att71 numeric
@attribute att81 numeric
@attribute att91 numeric
@attribute att101 numeric
@attribute att111 {dohc,dohcv,l,ohc,ohcf,ohcv,rotor}
@attribute att121 {eight,five,four,six,three,twelve,two}
@attribute att131 numeric
@attribute att141 {1bbl,2bbl,4bbl,idi,mfi,mpfi,spdi,spfi}
@attribute att151 numeric
@attribute att161 numeric
@attribute att171 numeric
@attribute class {-2,-1,0,1,2,3}

@data
alfa-romero,gas,std,convertible,rwd,front,0.05831,0.41343,0.31667,0.08333,0.41117,dohc,four,0.26038,mpfi,0.125,0.22222,0.28947,3
alfa-romero,gas,std,convertible,rwd,front,0.05831,0.41343,0.31667,0.08333,0.41117,dohc,four,0.26038,mpfi,0.125,0.22222,0.28947,3
alfa-romero,gas,std,hatchback,rwd,front,0.23032,0.44925,0.43333,0.38333,0.51784,ohcv,six,0.3434,mpfi,0.125,0.16667,0.26316,1
audi,gas,std,sedan,fwd,front,0.38484,0.52985,0.49167,0.54167,0.32933,ohc,four,0.18113,mpfi,0.1875,0.30556,0.36842,2
audi,gas,std,sedan,4wd,front,0.37318,0.52985,0.50833,0.54167,0.51823,ohc,five,0.28302,mpfi,0.0625,0.13889,0.15789,2
audi,gas,std,sedan,fwd,front,0.38484,0.5403,0.5,0.44167,0.39527,ohc,five,0.28302,mpfi,0.09375,0.16667,0.23684,2
audi,gas,std,sedan,fwd,front,0.55977,0.77015,0.925,0.65833,0.52599,ohc,five,0.28302,mpfi,0.09375,0.16667,0.23684,1
audi,gas,std,wagon,fwd,front,0.55977,0.77015,0.925,0.65833,0.56866,ohc,five,0.28302,mpfi,0.09375,0.16667,0.23684,1
audi,gas,turbo,sedan,fwd,front,0.55977,0.77015,0.925,0.675,0.61986,ohc,five,0.26415,mpfi,0.08125,0.11111,0.10526,1
audi,gas,turbo,hatchback,4wd,front,0.37609,0.55373,0.63333,0.35,0.60706,ohc,five,0.26415,mpfi,0,0.08333,0.15789,0
bmw,gas,std,sedan,rwd,front,0.42566,0.53284,0.375,0.54167,0.35182,ohc,four,0.17736,mpfi,0.1125,0.27778,0.34211,2
bmw,gas,std,sedan,rwd,front,0.42566,0.53284,0.375,0.54167,0.35182,ohc,four,0.17736,mpfi,0.1125,0.27778,0.34211,0
bmw,gas,std,sedan,rwd,front,0.42566,0.53284,0.375,0.54167,0.47401,ohc,six,0.38868,mpfi,0.125,0.22222,0.31579,0
bmw,gas,std,sedan,rwd,front,0.42566,0.53284,0.375,0.54167,0.49535,ohc,six,0.38868,mpfi,0.125,0.22222,0.31579,0
bmw,gas,std,sedan,rwd,front,0.49271,0.71493,0.55,0.65833,0.60784,ohc,six,0.38868,mpfi,0.125,0.19444,0.23684,1
bmw,gas,std,sedan,rwd,front,0.49271,0.71493,0.55,0.65833,0.67572,ohc,six,0.55849,mpfi,0.0625,0.08333,0.15789,0
bmw,gas,std,sedan,rwd,front,0.49271,0.78657,0.63333,0.49167,0.7339,ohc,six,0.55849,mpfi,0.0625,0.08333,0.15789,0
bmw,gas,std,sedan,rwd,front,0.68222,0.83433,0.88333,0.70833,0.78239,ohc,six,0.55849,mpfi,0.0625,0.05556,0.10526,0
chevrolet,gas,std,hatchback,fwd,front,0.05248,0,0,0.45,0,l,three,0,2bbl,0.15625,0.94444,0.97368,2
chevrolet,gas,std,hatchback,fwd,front,0.23032,0.2209,0.275,0.35,0.14973,ohc,four,0.10943,2bbl,0.1625,0.69444,0.71053,1
chevrolet,gas,std,sedan,fwd,front,0.23032,0.26418,0.275,0.35,0.1633,ohc,four,0.10943,2bbl,0.1625,0.69444,0.71053,0
dodge,gas,std,hatchback,fwd,front,0.207,0.24179,0.29167,0.25,0.1505,ohc,four,0.10943,2bbl,0.15063,0.66667,0.65789,1
dodge,gas,std,hatchback,fwd,front,0.207,0.24179,0.29167,0.25,0.1505,ohc,four,0.10943,2bbl,0.15,0.5,0.57895,1
dodge,gas,turbo,hatchback,fwd,front,0.207,0.24179,0.29167,0.25,0.24825,ohc,four,0.13962,mpfi,0.0375,0.30556,0.36842,1
dodge,gas,std,hatchback,fwd,front,0.207,0.24179,0.29167,0.23333,0.1858,ohc,four,0.10943,2bbl,0.15,0.5,0.57895,1
dodge,gas,std,sedan,fwd,front,0.207,0.24179,0.29167,0.23333,0.19434,ohc,four,0.10943,2bbl,0.15,0.5,0.57895,1
dodge,gas,std,sedan,fwd,front,0.207,0.24179,0.29167,0.23333,0.19434,ohc,four,0.10943,2bbl,0.15,0.5,0.57895,1
dodge,gas,turbo,sedan,fwd,front,0.207,0.24179,0.29167,0.23333,0.27269,ohc,four,0.13962,mpfi,0.0375,0.30556,0.36842,1
dodge,gas,std,wagon,fwd,front,0.48688,0.5,0.35833,1,0.40613,ohc,four,0.23019,2bbl,0.09375,0.30556,0.36842,-1
dodge,gas,turbo,hatchback,fwd,front,0.27114,0.4791,0.5,0.2,0.51319,ohc,four,0.35849,mfi,0,0.16667,0.21053,3
honda,gas,std,hatchback,fwd,front,0,0.05224,0.3,0.25,0.08728,ohc,four,0.11698,1bbl,0.1625,1,1,2
honda,gas,std,hatchback,fwd,front,0,0.05224,0.3,0.25,0.12839,ohc,four,0.11698,1bbl,0.1375,0.5,0.57895,2
honda,gas,std,hatchback,fwd,front,0.207,0.13284,0.30833,0.4,0.13538,ohc,four,0.06792,1bbl,0.19375,0.69444,0.68421,1
