@relation Ecoli.arff

@attribute att01 numeric
@attribute att11 numeric
@attribute att21 numeric
@attribute att31 numeric
@attribute att41 numeric
@attribute att51 numeric
@attribute att61 numeric
@attribute class {cp,im,pp,imU,om,omL,imL,imS}

@data
0.55056,0.15476,0,0,0.63636,0.21649,0.35354,cp
0.07865,0.28571,0,0,0.61364,0.3299,0.44444,cp
0.62921,0.28571,0,0,0.55682,0.35052,0.46465,cp
0.66292,0.39286,0,0,0.59091,0.43299,0.36364,cp
0.25843,0.19048,0,0,0.625,0.2268,0.35354,cp
0.75281,0.27381,0,0,0.40909,0.36082,0.46465,cp
0.32584,0.14286,0,0,0.5,0.20619,0.34343,cp
0.23596,0.21429,0,0,0.57955,0.25773,0.39394,cp
0.22472,0.33333,0,0,0.52273,0.49485,0.57576,cp
0.47191,0.28571,0,0,0.63636,0.15464,0.30303,cp
0.47191,0.09524,0,0,0.64773,0.24742,0.37374,cp
0.2809,0.38095,0,0,0.5,0.14433,0.29293,cp
0.4382,0.19048,0,0,0.52273,0.21649,0.35354,cp
0.57303,0.40476,0,0,0.52273,0.29897,0.35354,cp
0.24719,0.32143,0,0,0.54545,0.13402,0.28283,cp
0.2809,0.28571,0,0,0.52273,0.42268,0.52525,cp
0.38202,0.34524,0,0,0.43182,0.21649,0.35354,cp
0.49438,0.13095,0,0,0.625,0.50515,0.58586,cp
0.25843,0.28571,0,0,0.44318,0.25773,0.38384,cp
0.46067,0.4881,0,0,0.44318,0.18557,0.32323,cp
0.44944,0.34524,0,0,0.43182,0.19588,0,cp
0.34831,0.08333,0,0,0.82955,0.02062,0.14141,cp
0.57303,0.45238,0,0,0.46591,0.31959,0.43434,cp
0.33708,0,0,0,0.63636,0.08247,0.23232,cp
0.40449,0.27381,0,0,0.54545,0.19588,0.23232,cp
0.32584,0.25,0,0,0.54545,0.42268,0.52525,cp
0.2809,0.28571,0,0,0.53409,0.30928,0.42424,cp
0.23596,0.41667,0,0,0.56818,0.29897,0.41414,cp
0.48315,0.25,0,0,0.60227,0.3299,0.44444,cp
0.48315,0.27381,0,0,0.53409,0.28866,0.41414,cp
0.59551,0.2619,0,0,0.5,0.23711,0.36364,cp
0.38202,0.20238,0,0,0.43182,0.3299,0.44444,cp
0.62921,0.41667,0,0,0.38636,0.35052,0.46465,cp
0.44944,0.15476,0,0,0.47727,0.3299,0.44444,cp
0.26966,0.22619,0,0,0.35227,0.16495,0.31313,cp
0.40449,0.45238,0,0,0.46591,0.36082,0.46465,cp
0.32584,0.42857,0,0,0.47727,0.26804,0.39394,cp
0.73034,0.36905,0,0,0.67045,0.27835,0.40404,cp
0.35955,0.30952,0,0,0.39773,0.25773,0.38384,cp
0.42697,0.35714,0,0,0.54545,0.19588,0.29293,cp
0.37079,0.34524,0,0,0.59091,0.29897,0.41414,cp
0.33708,0.25,0,0,0.67045,0.39175,0.49495,cp
0.44944,0.40476,0,0,0.51136,0.37113,0.47475,cp
0.31461,0.2619,0,0,0.56818,0.30928,0.42424,cp
0.68539,0.34524,0,0,0.54545,0.3299,0.41414,cp
0.19101,0.2619,0,0,0.51136,0.40206,0.50505,cp
0.49438,0.22619,0,0,0.625,0.53608,0.61616,cp
0.48315,0.28571,0,0,0.44318,0.25773,0.39394,cp
0.47191,0.22619,0,0,0.65909,0.12371,0.27273,cp
0.25843,0.20238,0,0,0.48864,0.30928,0.43434,cp
0.41573,0.42857,0,0,0.47727,0.40206,0.36364,cp
0.32584,0.16667,0,0,0.51136,0,0.17172,cp
0.24719,0.2381,0,0,0.39773,0.37113,0.47475,cp
0.25843,0.5,0,0,0.42045,0.51546,0.59596,cp
0.52809,0.36905,0,0,0.25,0.13402,0.26263,cp
0.60674,0.36905,0,0,0.31818,0.30928,0.42424,cp
0.57303,0.25,0,0,0.39773,0.34021,0.45455,cp
0.44944,0.22619,0,0,0.51136,0.30928,0.42424,cp
0.49438,0.21429,0,0,0.34091,0.30928,0.43434,cp
0.47191,0.2619,0,0,0.61364,0.31959,0.43434,cp
0.49438,0.47619,0,0,0.56818,0.4433,0.54545,cp
0.58427,0.2381,0,0,0.46591,0.25773,0.38384,cp
0.40449,0.29762,0,0,0.54545,0.45361,0.54545,cp
0.20225,0.16667,0,0,0.52273,0.21649,0.35354,cp
0.52809,0.15476,0,0,0.57955,0.30928,0.43434,cp
0.26966,0.32143,0,0,0.61364,0.50515,0.59596,cp
0.2809,0.25,0,0,0.46591,0.30928,0.42424,cp
0.58427,0.4881,0,0,0.47727,0.45361,0.54545,cp
0.2809,0.25,0,0,0.48864,0.23711,0.36364,cp
0.39326,0.38095,0,0,0.63636,0.38144,0.48485,cp
0.29213,0.11905,0,0,0.38636,0.2268,0.35354,cp
0.49438,0.41667,0,0,0.53409,0.23711,0.36364,cp
0.41573,0.40476,0,0,0.47727,0.34021,0.45455,cp
0.49438,0.30952,0,0,0.47727,0.2268,0.20202,cp
0.26966,0.32143,0,0,0.42045,0.25773,0.38384,cp
0.47191,0.16667,0,0,0.54545,0.23711,0.36364,cp
0.53933,0.30952,0,0,0.51136,0.2268,0.35354,cp
0.46067,0.38095,0,0,0.57955,0.42268,0.51515,cp
0.49438,0.14286,0,0,0.48864,0.24742,0.37374,cp
0.32584,0.29762,0,0,0.54545,0.36082,0.46465,cp
0.38202,0.14286,0,0,0.46591,0.3299,0.44444,cp
0.46067,0.32143,0,0,0.51136,0.28866,0.41414,cp
0.32584,0.36905,0,0,0.46591,0.20619,0.34343,cp
0.38202,0.46429,0,0,0.65909,0.28866,0.41414,cp
0.40449,0.47619,0,0,0.48864,0.43299,0.53535,cp
0.44944,0.35714,0,0,0.59091,0.47423,0.56566,cp
0.5618,0.39286,0,0,0.55682,0.4433,0.53535,cp
0.58427,0.33333,0,0,0.42045,0.34021,0.42424,cp
0.5618,0.41667,0,0,0.30682,0.20619,0.34343,cp
0.59551,0.30952,0,0,0.18182,0.26804,0.39394,cp
0.38202,0.35714,0,0,0.59091,0.3299,0.44444,cp
0.44944,0.30952,0,0,0.42045,0.24742,0.27273,cp
0.46067,0.32143,0,0,0.56818,0.21649,0.25253,cp
0.33708,0.34524,0,0,0.40909,0.18557,0.32323,cp
0.34831,0.36905,0,0,0.32955,0.25773,0.39394,cp
0.7191,0.71429,0,0,0.51136,0.3299,0.38384,cp
0.39326,0.25,0,0,0.34091,0.31959,0.43434,cp
0.64045,0.45238,0,0,0.42045,0.25773,0.33333,cp
0.73034,0.46429,0,0,0.38636,0.35052,0.28283,cp
0.57303,0.35714,0,0,0.65909,0.28866,0.41414,cp
0.42697,0.28571,0,0,0.71591,0.2268,0.35354,cp
0.26966,0.4881,0,0,0.71591,0.31959,0.43434,cp
0.42697,0.11905,0,0,0.61364,0.13402,0.28283,cp
0.37079,0.36905,0,0,0.60227,0.15464,0.29293,cp
0.26966,0.21429,0,0,0.43182,0.27835,0.40404,cp
0.29213,0.40476,0,0,0.5,0.29897,0.41414,cp
0.49438,0.39286,0,0,0.44318,0.36082,0.40404,cp
0.48315,0.19048,0,0,0.375,0.43299,0.52525,cp
0.55056,0.32143,0,0,0.55682,0.27835,0.40404,cp
0.52809,0.14286,0,0,0.63636,0.17526,0.25253,cp
0.35955,0.20238,0,0,0.68182,0.03093,0.20202,cp
0.38202,0.22619,0,0,0.57955,0.47423,0.56566,cp
0.39326,0.21429,0,0,0.52273,0.27835,0.27273,cp
0.42697,0.16667,0,0,0.48864,0.26804,0.39394,cp
0.42697,0.33333,0,0,0.48864,0.17526,0.31313,cp
0.46067,0.41667,0,0,0.65909,0.17526,0.31313,cp
0.38202,0.30952,0,0,0.46591,0.31959,0.43434,cp
0.57303,0.39286,0,0,0.60227,0.1134,0.26263,cp
0.2809,0.41667,0,0,0.42045,0.40206,0.50505,cp
0.32584,0.14286,0,0,0.56818,0.40206,0.50505,cp
0.2809,0.11905,0,0,0.44318,0.29897,0.42424,cp
0.26966,0.29762,0,0,0.55682,0.20619,0.34343,cp
0.19101,0.27381,0,0,0.60227,0.27835,0.39394,cp
0.04494,0.17857,0,0,0.46591,0.26804,0.39394,cp
0.68539,0.2381,0,0,0.55682,0.3299,0.44444,cp
0.38202,0.41667,0,0,0.5,0.35052,0.46465,cp
0.31461,0.20238,0,0,0.51136,0.19588,0.33333,cp
0.44944,0.35714,0,0,0.47727,0.3299,0.44444,cp
0.25843,0.21429,0,0,0.48864,0.23711,0.37374,cp
0.41573,0.33333,0,0,0.47727,0.37113,0.47475,cp
0,0.2619,0,0,0.47727,0.46392,0.55556,cp
0.4382,0.17857,0,0,0.43182,0.31959,0.43434,cp
0.33708,0.33333,0,0,0.55682,0.19588,0.33333,cp
0.30337,0.16667,0,0,0.80682,0.25773,0.39394,cp
0.19101,0.42857,0,0,0.55682,0.35052,0.46465,cp
0.40449,0.30952,0,0,0.60227,0.29897,0.41414,cp
0.33708,0.25,0,0,0.48864,0.15464,0.30303,cp
0.29213,0.28571,0,0,0.40909,0.23711,0.37374,cp
0.44944,0.29762,0,0,0.625,0.19588,0.33333,cp
0.24719,0.21429,0,0,0.47727,0.26804,0.39394,cp
0.49438,0.22619,0,0,0.5,0.50515,0.59596,cp
0.30337,0.30952,0,0,0.42045,0.36082,0.43434,cp
0.17978,0.32143,0,0,0.61364,0.24742,0.37374,cp
0.06742,0.53571,0,0,0.55682,0.91753,0.37374,im
0.49438,0.42857,0,0,0.48864,0.45361,0.54545,im
0.70787,0.36905,0,0,0.57955,0.81443,0.84848,im
0.25843,0.38095,0,0,0.67045,0.87629,0.89899,im
0.38202,0.39286,0,0,0.65909,0.84536,0.80808,im
0.48315,0.28571,0,0,0.65909,0.74227,0.78788,im
0.51685,0.53571,0,0,0.54545,0.85567,0.87879,im
0.30337,0.22619,0,0,0.57955,0.76289,0.79798,im
0.58427,0.27381,0,0,0.73864,0.70103,0.73737,im
0.32584,0.36905,0,0,0.80682,0.63918,0.69697,im
0.61798,0.36905,0,0,0.64773,0.7732,0.80808,im
0.13483,0.60714,0,0,0.84091,0.56701,0.63636,im
0.44944,0.40476,0,0,0.73864,0.81443,0.84848,im
0.82022,0.2381,0,0,0.60227,0.90722,0.92929,im
0.94382,0.33333,0,0,0.54545,0.70103,0.74747,im
0.53933,0.34524,0,0,0.68182,0.7732,0.80808,im
0.60674,0.39286,0,0,0.45455,0.86598,0.88889,im
0.53933,0.29762,0,0,0.57955,0.89691,0.88889,im
0.5618,0.59524,0,0,0.35227,0.91753,0.92929,im
0.80899,0.35714,0,0,0.57955,0.64948,0.70707,im
0.52809,0.46429,0,0,0.65909,0.70103,0.75758,im
0.37079,0.47619,0,0,0.375,0.7732,0.80808,im
0.7191,0.5,0,0,0.54545,0.7732,0.73737,im
0.60674,0.4881,0,0,0.63636,0.80412,0.83838,im
0.52809,0.5119,0,0,0.59091,0.75258,0.79798,im
0.70787,0.40476,0,0,0.67045,0.84536,0.86869,im
0.55056,0.30952,0,0,0.60227,0.78351,0.81818,im
0.34831,0.40476,0,0,0.64773,0.83505,0.85859,im
0.83146,0.33333,0,0,0.625,0.87629,0.89899,im
0.37079,0.34524,0,0,0.51136,0.87629,0.89899,im
0.50562,0.28571,0,0,0.69318,0.73196,0.77778,im
0.79775,0.28571,0,0,0.80682,0.69072,0.74747,im
0.5618,0.25,0,0,0.75,0.62887,0.69697,im
0.74157,0.44048,0,0,0.67045,0.64948,0.66667,im
0.67416,0.53571,0,0,0.61364,0.65979,0.71717,im
0.93258,0.25,0,0,0.69318,0.70103,0.74747,im
0.38202,0.41667,0,0,0.76136,0.89691,0.90909,im
0.70787,0.45238,0,0,0.73864,0.78351,0.81818,im
0.78652,0.28571,0,0,0.63636,0.85567,0.83838,im
0.67416,0.40476,1,0,0.61364,0.76289,0.80808,im
0.17978,0.41667,0,0,0.375,0.37113,0.48485,im
0.83146,0.64286,0,0,0.75,0.63918,0.69697,im
0.22472,0.35714,0,0,0.64773,0.7732,0.81818,im
1,0.46429,0,0,0.57955,0.71134,0.76768,im
0.78652,0.35714,0,0,0.63636,0.7732,0.73737,im
0.13483,0.32143,0,0,0.71591,0.69072,0.74747,im
0.68539,0.42857,0,0,0.61364,0.65979,0.52525,im
0.37079,0.25,0,0,0.52273,0.63918,0.69697,im
0.70787,0.58333,0,0,0.75,0.65979,0.71717,im
0.46067,0.41667,0,0,0.60227,0.74227,0.78788,im
0.38202,0.60714,0,0,0.59091,0.75258,0.79798,im
0.65169,0.21429,0,0,0.63636,0.86598,0.81818,im
0.66292,0.47619,0,0,0.625,0.79381,0.82828,im
0.57303,0.28571,0,0,0.64773,0.60825,0.67677,im
0.5618,0.4881,0,0,0.80682,0.59794,0.66667,im
0.67416,0.35714,0,0,0.51136,0.80412,0.83838,im
0.41573,0.36905,0,0,0.44318,0.75258,0.79798,im
0.65169,0.46429,0,0,0.64773,0.69072,0.74747,im
0.40449,0.36905,0,0,0.57955,0.68041,0.72727,im
