@relation 'Horse Colic.arff'

@attribute att01 {yes,no}
@attribute att11 {adult,young}
@attribute att21 numeric
@attribute att31 numeric
@attribute att41 numeric
@attribute att51 {normal,warm,cool,cold}
@attribute att61 {normal,increased,reduced,absent}
@attribute att71 {'normal pink','bright pink','pale pink','pale cyanotic','bright red','dark cyanotic'}
@attribute att81 {<3,>=3,'meaning unknown'}
@attribute att91 {'alert no pain',depressed,'intermittent mild pain','intermittent severe pain','continuous severe pain'}
@attribute att101 {hypermotile,normal,hypomotile,absent}
@attribute att111 {none,slight,moderate,severe}
@attribute att121 {none,slight,significant}
@attribute att131 {none,>1l,<1l}
@attribute att141 numeric
@attribute att151 {normal,increased,decreased,absent}
@attribute att161 {normal,other,'firm feces in large intestine','distended small intestine','distended large intestine'}
@attribute att171 numeric
@attribute att181 numeric
@attribute att191 {clear,cloudy,serosanguinous}
@attribute att201 numeric
@attribute att211 {lived,died,euthanized}
@attribute class {yes,no}

@data
no,adult,0.80361,0.23377,0.22727,cool,reduced,'normal pink',>=3,'continuous severe pain',absent,severe,slight,none,0,decreased,'distended large intestine',0.57746,0.05951,clear,0.08176,died,no
yes,adult,0.86338,0.37662,0.13636,normal,normal,'pale cyanotic',<3,'intermittent mild pain',absent,slight,slight,none,0,absent,other,0.64789,0.95333,cloudy,0.19,euthanized,no
no,adult,0.78654,0.06494,0.18182,normal,normal,'pale pink',<3,'intermittent mild pain',hypomotile,none,slight,none,0,normal,normal,0.40845,0.03967,clear,0.08176,lived,no
yes,young,0.85485,0.87013,0.86364,cold,normal,'dark cyanotic',>=3,depressed,absent,severe,none,>1l,0.55865,decreased,'distended large intestine',0.61972,0.04551,serosanguinous,0.52,died,yes
no,adult,0.70115,0.48052,0.30682,normal,normal,'dark cyanotic',>=3,'alert no pain',hypomotile,none,slight,none,0,normal,normal,0.98592,0.04784,clear,0.08176,died,no
no,adult,0.43803,0.19013,0.15592,warm,normal,'pale pink',<3,depressed,hypomotile,slight,slight,none,0,decreased,'firm feces in large intestine',0.49228,0.25543,clear,0.08176,lived,no
yes,adult,0.75238,0.11688,0.09091,normal,normal,'normal pink',<3,'intermittent mild pain',hypomotile,moderate,none,none,0.07212,decreased,'distended large intestine',0.46479,0.04317,serosanguinous,0.10522,lived,yes
yes,adult,0,0.19481,0.20841,cool,reduced,'pale pink',<3,depressed,absent,slight,slight,none,0.07212,decreased,'distended small intestine',0.56338,0.05834,serosanguinous,0.10522,died,yes
no,adult,0,0.32468,0.31818,cool,absent,'pale pink',<3,'intermittent severe pain',absent,severe,slight,none,0.07212,decreased,'distended large intestine',0.47887,0.03384,serosanguinous,0.10522,euthanized,yes
no,young,0.78654,0.38961,0.15592,normal,normal,'normal pink',<3,'continuous severe pain',hypomotile,none,slight,none,0,decreased,normal,0.50704,0.03384,clear,0.21,lived,no
yes,adult,0.76946,0.23377,0.04545,cool,reduced,'bright red',<3,'intermittent mild pain',hypomotile,none,slight,none,0.30644,increased,'distended large intestine',0.56338,0.03151,cloudy,0.35,lived,yes
no,adult,0.85485,0.27273,0.5,warm,reduced,'bright pink',<3,depressed,hypermotile,slight,none,none,0.07212,absent,'distended small intestine',0.64789,0.05251,serosanguinous,0.10522,lived,yes
yes,adult,0.69261,0.07792,0.04545,warm,normal,'normal pink',<3,'intermittent mild pain',hypomotile,moderate,significant,none,0,absent,'distended large intestine',0.49228,0.04317,clear,0.08176,lived,no
no,young,0.76092,0.4026,0.22727,normal,normal,'bright pink',<3,'alert no pain',hypomotile,slight,significant,none,0.83607,normal,normal,0.46479,0.03267,clear,0.08176,died,no
yes,adult,0.778,0.2987,0.22727,cool,normal,'normal pink',<3,'intermittent mild pain',absent,none,slight,>1l,0.07212,absent,'distended small intestine',0.59155,0.90665,clear,0.19,lived,yes
yes,adult,0.72677,0.42857,0.45455,cool,normal,'pale cyanotic',<3,'continuous severe pain',hypomotile,moderate,slight,<1l,0.4956,absent,'distended large intestine',0.57746,0.04084,serosanguinous,0.10522,died,yes
yes,young,0.43803,0.63636,0.31818,cool,reduced,'pale cyanotic',>=3,'intermittent severe pain',absent,moderate,significant,none,0,absent,'distended large intestine',0.69014,0.05251,serosanguinous,0.46,died,no
no,adult,0.71823,0.11688,0.18182,normal,normal,'normal pink',<3,'alert no pain',hypomotile,none,slight,none,0,normal,normal,0.49228,0.25543,clear,0.08176,lived,no
yes,adult,0.72677,0.22078,0.14773,normal,normal,'bright pink',<3,depressed,hypomotile,none,none,none,0.07212,increased,'distended large intestine',0.50704,0.04317,clear,0.10522,lived,yes
no,adult,0.88046,0.51948,0.30682,cold,reduced,'dark cyanotic',<3,'alert no pain',hypomotile,moderate,slight,none,0,normal,normal,0.71831,0.06301,clear,0.08176,lived,no
yes,adult,0.92315,0.27273,0.59091,normal,normal,'bright red',>=3,'continuous severe pain',absent,severe,significant,none,0.07212,absent,'distended small intestine',0.59155,0.03267,cloudy,0.10522,lived,yes
no,adult,0.79508,0.11688,0.09091,normal,normal,'normal pink',<3,'alert no pain',hypomotile,none,slight,<1l,0.6217,absent,'firm feces in large intestine',0.6338,0.04084,clear,0.08176,lived,no
yes,adult,0.81215,0.07792,0.29545,warm,normal,'pale cyanotic',<3,depressed,hypomotile,none,slight,none,0.07212,normal,'distended large intestine',0.61972,0.04551,serosanguinous,0.10522,lived,yes
yes,young,0.78654,0.64935,0.59091,cool,reduced,'pale pink',<3,depressed,absent,moderate,slight,none,0.07212,absent,'distended large intestine',0.64789,0.7783,serosanguinous,0.10522,lived,yes
yes,adult,0.76946,0.19481,0.04545,cool,reduced,'pale pink',<3,depressed,absent,moderate,significant,>1l,0.18034,absent,'distended large intestine',0.66197,0.71995,serosanguinous,0.10522,lived,yes
no,adult,0.74384,0.19481,0.38636,normal,normal,'normal pink',<3,'alert no pain',hypomotile,none,slight,none,0,normal,normal,0.49228,0.25543,clear,0.08176,lived,no
