@relation Ionosphere.arff

@attribute att01 numeric
@attribute att11 numeric
@attribute att21 numeric
@attribute att31 numeric
@attribute att41 numeric
@attribute att51 numeric
@attribute att61 numeric
@attribute att71 numeric
@attribute att81 numeric
@attribute att91 numeric
@attribute att101 numeric
@attribute att111 numeric
@attribute att121 numeric
@attribute att131 numeric
@attribute att141 numeric
@attribute att151 numeric
@attribute att161 numeric
@attribute att171 numeric
@attribute att181 numeric
@attribute att191 numeric
@attribute att201 numeric
@attribute att211 numeric
@attribute att221 numeric
@attribute att231 numeric
@attribute att241 numeric
@attribute att251 numeric
@attribute att261 numeric
@attribute att271 numeric
@attribute att281 numeric
@attribute att291 numeric
@attribute att301 numeric
@attribute att311 numeric
@attribute att321 numeric
@attribute class {b,g}

@data
1,0.9977,0.47056,0.92622,0.51153,0.91699,0.31146,1,0.5188,0.92622,0.41123,0.79878,0.27528,0.80268,0.30888,0.92178,0.30729,0.79106,0.33904,0.78486,0.35163,0.68473,0.26322,0.78406,0.24415,0.70539,0.26916,0.60633,0.32955,0.71134,0.22757,0.59321,0.2735,g
1,1,0.40585,0.96518,0.31922,0.44566,0.03202,1,0.47726,0.75437,0.16129,0.67216,0.15147,0.24157,0.01243,0.5275,0.18882,0.66555,0,0.43425,0.2735,0.40972,0.32133,0.39834,0.36716,0.39766,0.408,0.4048,0.44204,0.41687,0.46856,0.43131,0.48777,b
1,1,0.48318,1,0.50243,1,0.43969,0.94483,0.50599,0.86541,0.52673,0.92722,0.50414,0.77296,0.5015,0.91888,0.43178,0.87768,0.4573,0.85444,0.36249,0.71693,0.43969,0.78764,0.2989,0.79492,0.38928,0.7155,0.41318,0.80218,0.3791,0.78023,0.30881,g
1,1,0.27419,1,1,0.85608,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.57258,0.77047,0.30335,0,0.22767,0.15013,1,0.5,0.5,1,0.95348,0.75807,1,1,0.39951,0.62841,1,0.33809,1,b
1,1,0.488,0.9707,0.53266,0.96053,0.38373,0.88576,0.41801,0.76399,0.39863,0.78205,0.49644,0.67198,0.36272,0.7647,0.3911,0.72554,0.41094,0.52991,0.32213,0.51155,0.23561,0.51643,0.17421,0.56645,0.23397,0.51216,0.18902,0.47147,0.20214,0.47696,0.17151,g
1,0.51169,0.49704,0.45038,0.44026,0.49619,0.44088,0.57353,0.53319,0.51893,0.46849,0.5,0.5,0.47714,0.4223,0.49829,0.44902,0.44213,0.47293,0.50919,0.51835,0.5076,0.50444,0.51757,0.49233,0.4838,0.54612,0.46071,0.50366,0.5,0.5,0.49981,0.56006,b
1,0.98794,0.44699,0.97301,0.396,0.96403,0.35825,0.92998,0.36329,0.89883,0.26036,0.89113,0.24618,0.87314,0.19282,0.78973,0.15957,0.68926,0.1318,0.68162,0.11719,0.65949,0.10124,0.61396,0.09183,0.5683,0.08745,0.52303,0.08803,0.47869,0.09341,0.43084,0.09513,g
0,0.5,0.5,0.5,0.5,1,0,0.5,0.5,0,0,0.5,0.5,0.5,0.5,1,1,0,0,0.5,0.5,0.5,0.5,1,1,1,1,0.5,0.5,1,1,0.5,0.5,b
1,0.98178,0.46401,1,0.42834,1,0.39344,1,0.31913,0.96285,0.28216,0.97255,0.29666,0.95196,0.26809,0.99153,0.32372,0.92269,0.1699,0.87673,0.19705,0.84819,0.17888,0.92553,0.1728,0.78789,0.15144,0.62718,0.1804,0.72557,0.1361,0.69448,0.1329,g
1,0.49068,0.45771,0.5,0.5,0.5,0.5,0.55735,0.36595,0.27169,0.30914,0.5,0.5,0.33172,0.69301,0.31434,0.57509,0.81864,0.61058,0.5,0.5,0.5,0.5,0.42599,0.49337,0.60323,0.48853,0.5,0.5,0.58298,0.62043,0.45896,0.69033,b
1,1,0.53327,1,0.40806,1,0.3634,1,0.28446,1,0.29326,0.98116,0.24063,0.95355,0.20492,0.94615,0.16763,0.84938,0.14502,0.85323,0.1184,0.8154,0.09728,0.77934,0.05436,0.73606,0.0675,0.70152,0.08163,0.65498,0.05454,0.61498,0.05421,g
1,1,0.22895,1,0,1,0,1,0.68108,1,0.29441,1,1,1,0,1,0.35323,1,0.03201,1,1,1,1,1,0.29556,1,0.18628,1,0,1,0,1,0,b
1,1,0.41842,1,0.44915,1,0.42402,1,0.40362,0.97028,0.32425,0.97868,0.35108,0.9686,0.32794,0.97243,0.35947,0.95069,0.28309,0.93022,0.26346,0.91494,0.2439,0.9204,0.26431,0.88112,0.20815,0.82862,0.15603,0.84357,0.17732,0.82364,0.16387,g
1,1,0.0665,1,0.6114,0.92746,0.30052,1,0.43955,1,0.67574,1,0.53886,1,0.42617,1,0,1,0,0.80916,0.57902,1,0.81174,1,0.41494,1,0.67962,1,0.16753,1,0.94214,1,0.40587,b
1,1,0.5369,1,0.5171,1,0.47219,1,0.54382,1,0.59826,1,0.60164,1,0.56393,1,0.55281,1,0.63544,1,0.72379,1,0.70875,1,0.60017,1,0.68372,0.97802,0.74321,1,0.66246,1,0.73356,g
1,0.75466,0.03002,1,0.63354,0.4824,0,1,0,0.71843,0,0.5,0.5,0,0.32868,0.3116,0.51812,1,0,0.5,0.5,0.5,0.5,0.41873,0.96118,0.69876,0.63251,0.5,0.5,1,0.61594,0.5,0.5,b
1,0.99822,0.53234,1,0.49382,0.98906,0.51249,0.98056,0.51156,0.99637,0.53904,0.94662,0.55173,0.97106,0.52635,0.94405,0.5556,0.93052,0.54316,0.90817,0.55915,0.91834,0.57221,0.90664,0.56706,0.89738,0.56819,0.89555,0.5769,0.88561,0.57965,0.85471,0.56008,g
0,0.5,0.5,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,b
1,0.83533,0.51264,0.83313,0.52516,0.78598,0.59381,0.54388,0.67041,0.81811,0.56066,0.8105,0.57143,0.89319,0.55488,0.79187,0.59076,0.57198,0.70612,0.76944,0.60663,0.7571,0.61313,0.74419,0.61862,0.73084,0.62309,0.71717,0.62653,0.70332,0.62896,1,0.66518,g
0,1,0,0.5,0.5,0.5,0.5,1,1,1,0,0.14063,1,0.5,0.5,0,1,1,1,0,1,1,0.78125,0,1,1,1,1,0,1,1,1,1,b
1,1,0.49694,1,0.45083,1,0.46176,1,0.44698,1,0.44464,1,0.30256,1,0.42192,0.96062,0.34058,0.93237,0.32733,0.95847,0.27964,0.9803,0.26567,0.90937,0.29814,0.91341,0.28885,0.87892,0.30885,0.90224,0.29713,0.87177,0.2748,g
0,1,1,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0,1,0,1,0.5,0.5,0.5,0.5,1,0,0,1,0,1,0,1,b
1,0.98036,0.53544,1,0.52148,1,0.54657,0.95084,0.47428,0.94632,0.5129,0.91625,0.46929,0.93767,0.54916,0.88272,0.5014,0.87603,0.47353,0.82981,0.46048,0.82079,0.47036,0.77839,0.46148,0.79025,0.48898,0.74832,0.49375,0.75655,0.49993,0.76049,0.49909,g
0,0,1,0.5,0.5,0.5,0.5,0,1,1,1,0.5,0.5,0.5,0.5,1,0,0,1,1,1,0.5,0.5,0,0,1,0,1,1,0,1,0.5,0.5,b
1,1,0.46909,1,0.51471,1,0.47435,1,0.49147,1,0.44137,0.92247,0.47399,0.96696,0.46701,0.84585,0.46311,0.82865,0.39817,0.97455,0.34221,0.90426,0.34173,0.92466,0.32581,0.86265,0.35413,0.86547,0.30712,0.77178,0.36858,0.82104,0.30257,g
