@relation 'Pittsburgh Bridges V1.arff'

@attribute att01 {A,M,O,Y}
@attribute att11 numeric
@attribute att21 numeric
@attribute att31 {WALK,AQUEDUCT,RR,HIGHWAY}
@attribute att41 numeric
@attribute att51 {1,2,4,6}
@attribute att61 {N,G}
@attribute att71 {THROUGH,DECK}
@attribute att81 {WOOD,IRON,STEEL}
@attribute att91 {SHORT,MEDIUM,LONG}
@attribute att101 {S,S-F,F}
@attribute class {WOOD,SUSPEN,SIMPLE-T,ARCH,CANTILEV,CONT-T}

@data
M,0.03922,0,HIGHWAY,0,2,N,THROUGH,WOOD,SHORT,S,WOOD
A,0.47059,0.00625,HIGHWAY,0.11155,2,N,THROUGH,WOOD,SHORT,S,WOOD
A,0.7451,0.06875,AQUEDUCT,0,1,N,THROUGH,WOOD,MEDIUM,S,WOOD
A,0.54902,0.11875,HIGHWAY,0.10221,2,N,THROUGH,WOOD,SHORT,S,WOOD
M,0.43137,0.125,HIGHWAY,0,2,N,THROUGH,WOOD,MEDIUM,S,WOOD
A,0.5098,0.1375,HIGHWAY,0.09969,2,N,THROUGH,WOOD,MEDIUM,S,WOOD
A,0.52941,0.1625,AQUEDUCT,0.10221,1,N,THROUGH,IRON,SHORT,S,SUSPEN
M,0.03922,0.175,HIGHWAY,0.22837,2,N,THROUGH,IRON,SHORT,S,SUSPEN
A,0.7451,0.1875,AQUEDUCT,0,1,N,DECK,WOOD,MEDIUM,S,WOOD
A,0.54902,0.20625,HIGHWAY,0.10221,2,N,THROUGH,WOOD,MEDIUM,S,WOOD
A,0.7451,0.21875,RR,0,2,N,DECK,WOOD,MEDIUM,S,WOOD
M,0.09804,0.2375,HIGHWAY,0.15268,2,N,THROUGH,WOOD,MEDIUM,S,WOOD
A,0.62745,0.2375,HIGHWAY,0,2,N,THROUGH,WOOD,MEDIUM,S,WOOD
A,0.52941,0.24375,RR,0,2,N,THROUGH,WOOD,MEDIUM,S,WOOD
A,0.47059,0.25625,HIGHWAY,0.10978,2,N,THROUGH,IRON,MEDIUM,S-F,SUSPEN
M,0.05882,0.28125,RR,0.10221,2,N,THROUGH,IRON,MEDIUM,F,SIMPLE-T
A,0.52941,0.2875,RR,0.15268,2,N,THROUGH,IRON,SHORT,S,SIMPLE-T
