@relation 'Planning Relax.arff'

@attribute att01 numeric
@attribute att11 numeric
@attribute att21 numeric
@attribute att31 numeric
@attribute att41 numeric
@attribute att51 numeric
@attribute att61 numeric
@attribute att71 numeric
@attribute att81 numeric
@attribute att91 numeric
@attribute att101 numeric
@attribute att111 numeric
@attribute class {1,2}

@data
0.61136,0.39797,0.36733,0.47933,0.46132,0.43402,0.51688,0.61611,0.797,0.60341,0.47066,0.36069,1
0.62216,0.41895,0.60769,0.49037,0.75691,0.44217,0.5138,0.75331,0.63489,0.63552,0.45957,0.55293,1
0.6272,0.75967,0.70336,0.71429,0.53946,0.78928,0.61779,0.47478,0.34232,0.60056,0.51564,0.82329,2
0.88447,0.7101,0.55459,0.68373,0.41294,0.71002,0.84559,0.54393,0.26417,0.47503,0.66256,0.79479,1
0.53658,0.5586,0.51536,0.55873,0.50382,0.59094,0.55058,0.219,0.6151,0.67507,0.40144,0.60928,1
0.76209,0.6559,0.58507,0.5517,0.59709,0.60131,0.85187,0.14724,0.60664,0.74628,0.31084,0.69345,1
0.66179,0.6321,0.78338,0.7848,0.76967,0.62062,0.71749,0.18446,0.74477,0.59997,0.49687,0.32464,2
0.76339,0.54363,0.70309,0.68474,0.75723,0.52279,0.77638,0.33915,0.5628,0.33128,0.81279,0.27115,1
0.98815,0.49955,0.02266,0.16479,0.14096,0.41305,0.94247,0.75214,0.68378,0.67236,0.40061,0.54837,1
0.94028,0.66701,0.16628,0.16239,0.20443,0.58139,0.89771,0.72954,0.73882,0.56958,0.52398,0.3621,1
0.71034,0.49499,0.60132,0.5326,0.63552,0.5466,0.60844,0.43808,0.62755,0.62217,0.46736,0.54993,2
0.82241,0.7333,0.964,0.9478,0.84969,0.73745,0.80613,0.43371,0.48368,0.44217,0.68126,0.52793,1
0.59527,0.4802,0.77134,0.66365,0.8325,0.51045,0.59258,0.34678,0.57431,0.43091,0.6882,0.38624,1
0.45311,0.60134,0.68864,0.66667,0.63269,0.65886,0.46558,0.22622,0.64128,0.59066,0.48716,0.50807,1
0.61182,0.33584,0.36115,0.32041,0.5552,0.36615,0.48794,0.65039,0.59054,0.45112,0.67296,0.42806,2
0.66841,0.04972,0.18445,0.04385,0.67619,0.01066,0.59828,0.6269,0.78,0.58983,0.4947,0.35044,1
0.84831,0.84704,0.5471,0.86906,0.18862,0.91735,0.76527,0.37633,0.72922,0.57292,0.50984,0.4032,1
0.76716,0.99495,0.69134,0.91849,0.31699,1,0.7795,0.53034,0.89024,0.76974,0.27913,0.39487,1
0.62826,0.51353,0.5141,0.62343,0.46824,0.60015,0.50781,0.48917,0.73259,0.68769,0.38202,0.51876,2
0.78857,0.67459,0.49965,0.55912,0.42953,0.66677,0.7832,0.36538,1,0.94406,0.06758,0.45724,1
0.85961,0.48826,0.48011,0.44819,0.67743,0.37829,0.91938,0.52991,0.9519,0.7667,0.27697,0.33186,1
0.86834,0.45795,0.68587,0.50764,0.87116,0.40919,0.84018,0.55892,0.83854,0.578,0.48918,0.3225,1
0.40245,0.05419,0.46812,0.31514,0.8355,0.14927,0.25908,0.45803,0.66971,0.68566,0.40183,0.5287,2
0.53677,0.3398,0.54214,0.45527,0.70483,0.38016,0.50982,0.39602,0.71762,0.88604,0.15691,0.67366,1
0.78763,0.56125,0.4956,0.63123,0.4648,0.56543,0.72742,0.68531,0.85091,0.74802,0.31019,0.43482,1
0.79492,0.36421,0.40203,0.36422,0.59675,0.35103,0.71449,0.58585,0.91408,0.73298,0.32221,0.36226,1
0.46495,0.22643,0.47885,0.43942,0.73431,0.27695,0.42521,0.18685,0.63576,0.6166,0.46809,0.52122,2
0.42747,0.27358,0.20101,0.29818,0.42244,0.29127,0.43503,0.23607,0.54879,0.47417,0.62149,0.48508,1
0.74075,0.49878,0.31095,0.42168,0.35534,0.51597,0.63314,0.57254,0.57758,0.50968,0.59864,0.50072,1
0.64782,0.73629,0.32706,0.52011,0.12973,0.78314,0.54916,0.72116,0.80411,0.66662,0.4099,0.39667,1
0.67509,0.6038,0.58061,0.52559,0.52505,0.65506,0.60091,0.43581,0.56851,0.7224,0.34451,0.73946,2
0.41888,0.53406,0.47131,0.65298,0.38867,0.63275,0.33649,0.45165,0.52912,0.48913,0.61406,0.56879,1
0.67715,0.46332,0.14735,0.28973,0.30644,0.4068,0.66578,0.52477,0.57354,0.37318,0.74672,0.39319,1
0.6522,0.59016,0.29871,0.4145,0.28155,0.59221,0.61576,0.55262,0.63101,0.67052,0.39969,0.6129,1
0.8174,0.69297,0.55481,0.82848,0.38635,0.71634,0.69425,1,0.92529,0.8657,0.16128,0.4893,2
0.91507,0.74206,0.39034,0.65105,0.28228,0.67571,0.89005,0.91851,0.8731,0.85996,0.16176,0.54082,1
0.83211,0.32543,0.36803,0.46631,0.56166,0.31628,0.76242,0.34884,0.87084,0.6677,0.41764,0.26904,1
0.77892,0.42781,0.2747,0.40991,0.38256,0.41584,0.70378,0.60813,0.73475,0.60535,0.4848,0.39506,1
0.79874,0.61307,0,0,0.13138,0.49731,0.81635,0.60746,0.85869,0.79942,0.25791,0.4634,2
0.57581,0.70712,0.13076,0.14298,0.09306,0.67271,0.59839,0.48909,0.77005,0.75091,0.31749,0.50257,1
0.85288,0.4694,0.33887,0.57899,0.35652,0.48655,0.69424,0.99887,0.72853,0.57419,0.50553,0.48422,1
