@relation 'Breast Tissue.arff'

@attribute att01 numeric
@attribute att11 numeric
@attribute att21 numeric
@attribute att31 numeric
@attribute att41 numeric
@attribute att51 numeric
@attribute att61 numeric
@attribute att71 numeric
@attribute att81 numeric
@attribute class {car,fad,mas,gla,con,adi}

@data
0.15639,0.50605,0.18431,0.20038,0.03883,0.17427,0.12201,0.23307,0.15581,car
0.08417,0.62008,0.62092,0.09725,0.01773,0.15087,0.14423,0.10979,0.09931,car
0.16644,0.63623,0.24314,0.23487,0.06776,0.2665,0.16309,0.26656,0.19187,car
0.10271,0.66044,0.66013,0.11304,0.03057,0.23174,0.1887,0.11599,0.13304,car
0.09634,0.5444,0.5817,0.10085,0.01846,0.15231,0.14346,0.11464,0.10817,car
0.10637,0.39808,0.30719,0.09483,0.01379,0.11862,0.09761,0.11851,0.10983,car
0.06951,0.38093,0.22353,0.05268,0.00642,0.08827,0.06478,0.0758,0.07407,car
0.06403,0.40918,0.47582,0.06886,0.00967,0.10828,0.07319,0.09314,0.07455,car
0.13608,0.58022,0.54641,0.15802,0.04653,0.2631,0.17872,0.1757,0.17258,car
0.11865,0.59889,0.61438,0.14632,0.03462,0.20828,0.16604,0.1646,0.15633,car
0.11383,0.88295,0.68105,0.22626,0.0605,0.24575,0.1391,0.25942,0.13839,car
0.1472,0.62109,0.21961,0.19127,0.0559,0.26577,0.16093,0.21942,0.1723,car
0.1245,0.5782,0.23791,0.09701,0.02757,0.23858,0.1701,0.10053,0.14448,car
0.09787,0.77397,0.59608,0.14667,0.0401,0.24189,0.15798,0.16678,0.12506,car
0.14189,0.62967,0.37516,0.22442,0.04624,0.18741,0.13287,0.25813,0.15023,car
0.10641,1,0.50588,0.21655,0.05725,0.24209,0.14565,0.24903,0.12721,car
0.06173,0.56408,0.19608,0.05821,0.01085,0.14048,0.08589,0.07711,0.07364,car
0.07304,0.51362,0.4366,0.07421,0.01702,0.18283,0.10134,0.0929,0.09457,car
0.08231,0.61352,0.66144,0.20078,0.03231,0.14337,0.06455,0.23968,0.12185,car
0.071,0.56155,1,0.16787,0.03137,0.16519,0.06726,0.20375,0.11565,car
0.1472,0.52119,0.48889,0.11979,0.01711,0.12013,0.20693,0.11857,0.15079,car
0.04004,0.12008,0.30065,0.01064,0.00047,0.0206,0.01471,0.03699,0.03325,fad
0.0348,0.0222,0.29412,0.00857,0.00007,0.00784,0,0.03741,0.02734,fad
0.05265,0.5106,0.27712,0.04144,0.00668,0.11111,0.07984,0.0567,0.0604,fad
0.09257,0.31685,0.29412,0.04683,0.00571,0.08593,0.08344,0.06288,0.093,fad
0.05202,0.07972,0.24967,0.04685,0.0018,0.02465,0.00472,0.0781,0.05003,fad
