@relation 'Climate Model Simulation Crashes.arff'

@attribute att01 numeric
@attribute att11 numeric
@attribute att21 numeric
@attribute att31 numeric
@attribute att41 numeric
@attribute att51 numeric
@attribute att61 numeric
@attribute att71 numeric
@attribute att81 numeric
@attribute att91 numeric
@attribute att101 numeric
@attribute att111 numeric
@attribute att121 numeric
@attribute att131 numeric
@attribute att141 numeric
@attribute att151 numeric
@attribute att161 numeric
@attribute att171 numeric
@attribute att181 numeric
@attribute att191 numeric
@attribute class {0,1}

@data
0,0,0.85967,0.92879,0.25242,0.29815,0.16999,0.73792,0.42615,0.56867,0.47401,0.24427,0.10386,0.87092,1,0.44733,0.30727,0.86054,0.79751,0.87016,0
0,0.00559,0.60637,0.45723,0.35932,0.3063,0.84409,0.9375,0.44249,0.8292,0.29518,0.61638,0.97583,0.91634,0.84715,0.86399,0.34653,0.35698,0.43863,0.5123,1
0,0.01117,0.9984,0.37247,0.51773,0.50519,0.61923,0.60712,0.74586,0.19598,0.81739,0.67902,0.80338,0.64505,0.71986,0.92478,0.31514,0.25066,0.28568,0.36582,1
0,0.01676,0.78395,0.10245,0.19693,0.42168,0.74262,0.49199,0.00094,0.39253,0.00683,0.47061,0.59775,0.76312,0.36281,0.91279,0.97878,0.84811,0.69985,0.47601,1
0,0.02235,0.40633,0.51287,0.06081,0.6366,0.84556,0.4425,0.1884,0.48812,0.35747,0.55089,0.74381,0.31225,0.65138,0.52117,0.04288,0.37714,0.28013,0.1321,1
0,0.02793,0.04102,0.62906,0.30308,0.81494,0.22238,0.97398,0.60863,0.64867,0.73916,0.44002,0.03558,0.61682,0.01624,0.93234,0.3291,0.9567,0.13528,0.29472,1
0,0.03352,0.16083,0.54862,0.15285,0.65526,0.13976,0.79883,0.40353,0.66353,0.04648,0.57794,0.26456,0.96137,0.69945,0.46612,0.63735,0.0104,0.14724,0.21368,1
0,0.03911,0.41539,0.8996,0.93336,0.91863,0.39901,0.009,0.84646,0.6847,0.39648,0.88695,0.52226,0.696,0.88858,0.41028,0.48113,0.92902,0.02624,0.09253,1
0,0.04469,0.16655,0.35214,0.98983,0.28633,0.56385,0.40358,0.37848,0.47975,0.05728,0.23509,0.2902,0.39201,0.2546,0.48721,0.05304,0.86447,0.41522,0.48716,1
0,0.05028,0.65601,0.41329,0.80646,0.16221,0.86269,0.95029,0.54506,0.42661,0.41637,0.94594,0.32512,0.66766,0.37438,0.09805,0.21289,0.22278,0.00707,0.42002,1
0,0.05587,0.59031,0.29268,0.42355,0.32925,0.45786,0.83208,0.49598,0.15943,0.97379,0.49155,0.08389,0.97653,0.92863,0.29371,0.80475,0.87312,0.54657,0.88515,1
0,0.06145,0.88259,0.42431,0.90468,0.17207,0.79166,0.4773,0.68044,0.90717,0.83021,0.08191,0.5204,0.07198,0.95039,0.99982,0.72888,0.28603,0.21086,0.83383,1
