@relation 'Connectionist Bench Sonar.arff'

@attribute att01 numeric
@attribute att11 numeric
@attribute att21 numeric
@attribute att31 numeric
@attribute att41 numeric
@attribute att51 numeric
@attribute att61 numeric
@attribute att71 numeric
@attribute att81 numeric
@attribute att91 numeric
@attribute att101 numeric
@attribute att111 numeric
@attribute att121 numeric
@attribute att131 numeric
@attribute att141 numeric
@attribute att151 numeric
@attribute att161 numeric
@attribute att171 numeric
@attribute att181 numeric
@attribute att191 numeric
@attribute att201 numeric
@attribute att211 numeric
@attribute att221 numeric
@attribute att231 numeric
@attribute att241 numeric
@attribute att251 numeric
@attribute att261 numeric
@attribute att271 numeric
@attribute att281 numeric
@attribute att291 numeric
@attribute att301 numeric
@attribute att311 numeric
@attribute att321 numeric
@attribute att331 numeric
@attribute att341 numeric
@attribute att351 numeric
@attribute att361 numeric
@attribute att371 numeric
@attribute att381 numeric
@attribute att391 numeric
@attribute att401 numeric
@attribute att411 numeric
@attribute att421 numeric
@attribute att431 numeric
@attribute att441 numeric
@attribute att451 numeric
@attribute att461 numeric
@attribute att471 numeric
@attribute att481 numeric
@attribute att491 numeric
@attribute att501 numeric
@attribute att511 numeric
@attribute att521 numeric
@attribute att531 numeric
@attribute att541 numeric
@attribute att551 numeric
@attribute att561 numeric
@attribute att571 numeric
@attribute att581 numeric
@attribute att591 numeric
@attribute class {M,R}

@data
0.13643,0.15645,0.13568,0.03543,0.22496,0.23757,0.40747,0.3409,0.44928,0.28571,0.18715,0.19725,0.29567,0.03836,0.0631,0.21484,0.28505,0.27262,0.48222,0.44317,0.55554,0.49606,0.39896,0.5441,0.66301,0.60513,0.69577,0.80239,0.67441,0.34558,0.08992,0.24714,0.48766,0.77742,0.85036,0.8495,0.69331,0.59416,0.48197,0.28617,0.01737,0.33919,0.36532,0.54831,0.37546,0.19007,0.19033,0.40222,0.19334,0.39273,0.23108,0.0271,0.15584,0.43567,0.14966,0.41795,0.50284,0.18535,0.24518,0.06005,R
0.32301,0.2216,0.27201,0.15002,0.28303,0.66676,0.5744,0.75546,0.48304,0.39454,0.65632,0.92556,0.96948,0.77591,0.74561,0.94464,1,0.88301,0.79213,0.76648,0.49536,0.39188,0.35965,0.3765,0.3084,0.25102,0.2931,0.25556,0.43415,0.15074,0.36033,0.28567,0.15825,0.22565,0.11077,0.41351,0.38093,0.07008,0.15486,0.20185,0.15217,0.06435,0.18117,0.20974,0.08829,0.02784,0.09598,0.22222,0.20646,0.07394,0.1245,0.10842,0.21818,0.11111,0.19955,0.47949,0.3892,0.10526,0.1405,0.08776,R
0.18215,0.24689,0.35611,0.2437,0.23003,0.58533,0.64881,0.8194,0.81786,0.86958,0.85694,1,0.77156,0.52047,0.64681,0.68889,0.66418,0.74556,0.88733,0.8522,0.78647,0.66639,0.39525,0.34925,0.52162,0.16434,0.48209,0.84901,0.59781,0.8417,0.8752,0.52134,0.14544,0.26465,0.41004,0.29869,0.63033,0.66268,0.52751,0.50131,0.49647,0.30904,0.27531,0.28627,0.30011,0.02414,0.24411,0.22282,0.06562,0.12848,0.03287,0.31954,0.41818,0.24854,0.39456,0.61538,0.8892,0.36842,0.25895,0.16628,R
0.06268,0.07072,0.19974,0.03495,0.035,0.07149,0.28815,0.26924,0.07745,0.16459,0.08394,0.25733,0,0.20501,0.17033,0.20039,0.03564,0.19803,0.37513,0.35499,0.23493,0.35487,0.52909,0.47198,0.29713,0.48607,0.50163,0.23014,0.19744,0.31384,0.62975,0.77915,0.59257,0.34817,0.38151,0.29556,0.55292,0.87668,1,0.98584,0.66717,0.6044,0.4151,0.41252,0.61061,0.5011,0.4808,0.472,0.34377,0.35636,0.24004,0.1612,0.08052,0.40936,0.17914,0.17692,0.13352,0.09382,0.10744,0.25635,R
0.55088,0.2829,0.15309,0.07989,0.13264,0.147,0.31818,0.53186,0.51666,0.62148,0.54771,0.54455,0.58615,0.39827,0.4511,0.52554,0.72086,0.60447,0.16179,0.42594,0.38322,0.41642,0.54753,0.52863,0.29928,0.15024,0.68432,1,0.7222,0.43795,0.50365,0.56785,0.25244,0.08151,0.17674,0.41341,0.46501,0.29469,0.25901,0.25196,0.18749,0.29158,0.23885,0.10835,0.09838,0.07241,0.06465,0.02546,0.1161,0.05576,0.15538,0.03281,0.12727,0.27778,0.23583,0.02821,0.19602,0.10297,0.29201,0.20323,R
0.19985,0.1916,0.08607,0.02758,0.0804,0.23865,0.31602,0.39206,0.30061,0.41842,0.38267,0.58822,0.88657,0.81726,1,1,0.94902,0.8987,0.70903,0.47795,0.16463,0.38503,0.56448,0.26975,0.18473,0.53541,0.5156,0.35673,0.33147,0.47449,0.55564,0.49135,0.29634,0.21049,0.1211,0.27984,0.37787,0.39253,0.38826,0.3463,0.2718,0.31673,0.0935,0.15949,0.16946,0.14934,0.11282,0.14795,0.13327,0.09818,0.10359,0.05278,0.02338,0.08187,0.01587,0.21795,0.15341,0.05492,0.13774,0.12933,R
0.22271,0.4072,0.42904,0.32097,0.40756,0.43214,0.18885,0.2968,0.29735,0.4862,0.21225,0.06184,0.04736,0.35877,0.54048,0.53715,0.49746,0.40384,0.16095,0.38281,0.76001,0.97291,0.93536,0.54503,0.51516,0.6504,0.54964,0.52954,0.20627,0.16363,0.58082,0.66491,0.26126,0.17605,0.28086,0.5124,0.63438,0.40553,0.53848,0.65534,0.53932,0.28339,0.25307,0.22533,0.18539,0.08187,0.20355,0.31357,0.25593,0.19273,0.19422,0.27532,0.63117,0.3538,0.14512,0.34359,0.25284,0.32037,0.09642,0.22402,R
0.37168,0.23232,0.27168,0.06205,0.27669,0.22037,0.26894,0.12304,0.20583,0.38968,0.3563,0.41764,0.35598,0.36382,0.56124,0.42886,0.235,0.08561,0.65033,0.936,0.7715,0.52479,0.66186,0.91538,0.75543,0.80394,0.8815,0.59767,0.28642,0.0522,0.09112,0.02471,0.05387,0.40212,0.35215,0.09778,0.171,0.36883,0.41292,0.2646,0.0916,0.26129,0.24298,0.18513,0.30509,0.32364,0.20373,0.07607,0.14387,0.21576,0.05179,0.10414,0.2987,0.10234,0.26077,0.23846,0.23295,0.10069,0.12948,0.10855,R
0.15339,0.15817,0.15407,0.09914,0.1471,0.13142,0.19481,0.00948,0.09018,0.19648,0.12293,0.2078,0.52526,0.34289,0.16872,0.09912,0,0.35543,0.72659,0.99197,0.97913,0.88651,0.65158,0.41461,0.32111,0.70988,0.95913,0.72756,0.47808,0.10451,0.2752,0.41474,0.28279,0.32782,0.32576,0.2123,0.23092,0.24363,0.13799,0.29139,0.25455,0.20562,0.27428,0.14159,0.14003,0.1743,0.26422,0.34861,0.39223,0.53212,0.06076,0.19544,0.31948,0.39474,0.11791,0.11538,0.17614,0.20595,0.15978,0.03695,R
0.10988,0.07158,0.10907,0.00285,0.03043,0.15292,0.27679,0.14157,0.13135,0.01973,0.07259,0.12016,0.15575,0.06363,0.01675,0.09882,0.25666,0.29704,0.28866,0.39351,0.58558,0.75994,0.91555,0.97121,0.91875,0.7296,0.82025,0.88751,0.72697,0.66933,0.58278,0.50899,0.27554,0.00996,0.00215,0.10363,0.13591,0.10273,0.03426,0.03649,0.03011,0.16667,0.20652,0.1783,0.05289,0.09435,0.15701,0.15364,0.04644,0.24,0.11753,0.11698,0.56623,0.49415,0.17687,0.1641,0.08239,0.07323,0.15152,0.07852,R
