@relation 'Credit Approval.arff'

@attribute att01 {a,b}
@attribute att11 numeric
@attribute att21 numeric
@attribute att31 {u,y,l,t}
@attribute att41 {c,d,cc,i,j,k,m,r,q,w,x,e,aa,ff}
@attribute att51 {v,h,bb,j,n,z,dd,ff,o}
@attribute att61 numeric
@attribute att71 {t,f}
@attribute att81 {t,f}
@attribute att91 numeric
@attribute att101 {t,f}
@attribute att111 {g,p,s}
@attribute att121 numeric
@attribute att131 numeric
@attribute class {S,N}

@data
b,0.25684,0,u,w,v,0.04386,t,t,0.01493,f,g,0.101,0,S
a,0.67549,0.15929,u,q,h,0.10667,t,t,0.08955,f,g,0.0215,0.0056,S
a,0.16165,0.01786,u,q,h,0.05263,t,f,0,f,g,0.14,0.00824,S
b,0.21173,0.055,u,w,v,0.13158,t,t,0.07463,t,g,0.05,0.00003,S
b,0.09654,0.20089,u,w,v,0.06,t,f,0,f,s,0.06,0,S
b,0.27564,0.14286,u,m,v,0.08772,t,f,0,t,g,0.18,0,S
b,0.29203,0.03714,u,r,h,0.22807,t,f,0,t,g,0.082,0.31285,S
a,0.13789,0.41375,u,cc,v,0.0014,t,f,0,f,g,0.04,0.01349,S
b,0.61158,0.01786,y,k,h,0.13895,t,f,0,f,g,0.09,0.00314,S
b,0.43233,0.17554,y,w,v,0.11105,t,f,0,t,g,0.026,0.01442,S
b,0.12526,0.02964,u,c,h,0.07596,f,f,0,t,g,0.064,0,S
b,0.24316,0.06554,u,c,h,0.15211,t,f,0,f,g,0.13,0.002,S
a,0.36842,0.21429,u,k,v,0.03509,t,f,0,t,g,0,0,S
b,0.51624,0.21571,u,k,v,0.0014,f,f,0,f,g,0,0.0269,S
a,0.48241,0.375,u,q,v,0.17544,t,t,0.10448,t,g,0,0,S
b,0.34466,0.15768,y,k,v,0.00877,t,t,0.14925,t,g,0.16,0,S
b,0.21805,0.03125,u,m,v,0.03368,t,t,0.04478,t,g,0.198,0,S
a,0.14286,0.20982,u,q,v,0.11123,t,t,0.14925,f,g,0.06,0.00245,S
b,0.1215,0.00893,u,d,h,0.02333,t,f,0,t,g,0,0,S
a,0.0815,0.30661,u,cc,h,0.02632,t,t,0.10448,f,g,0.048,0,S
b,0.16917,0.40179,u,c,v,0.08772,t,t,0.25373,f,g,0.1,0.01208,S
b,0.14286,0.03571,u,c,v,0.0293,t,f,0,f,s,0.15,0,S
a,0.51128,0.28571,u,c,v,0.27632,t,t,0.08955,t,g,0,0.0126,S
a,0.20556,0.51786,u,x,h,0.10825,t,t,0.01493,f,g,0.06,0.00011,S
a,0.41233,0.23214,u,q,v,0.01754,t,t,0.04478,t,g,0.0725,0,S
a,0.03128,0.02089,u,c,h,0.05263,t,t,0.02985,f,g,0.05,0,S
a,0.5,0.46429,u,i,bb,0.18123,t,t,0.13433,t,g,0,0,S
b,0.64406,0.66071,u,d,bb,0.52632,t,t,0.25373,t,g,0,0,S
b,0.65669,0.30357,u,e,h,0.24561,t,t,0.04478,f,g,0,0,S
b,0.42602,0.03714,u,w,v,0.17544,t,t,0.08955,t,g,0.25,0.1,S
b,0.23308,0.52821,u,aa,v,0.17684,t,t,0.07463,t,g,0.084,0,S
b,0.42481,0.34964,u,x,h,0.2793,t,t,0.1194,f,g,0,0,S
b,0.53759,0.27089,u,i,bb,0.26614,t,t,0.22388,t,g,0,0.05,S
a,0.34586,0.18304,u,e,v,0.17544,t,f,0,t,g,0,0.04,S
a,0.13278,0.38393,u,q,v,0.01456,t,t,0.07463,t,g,0,0.0056,S
b,0.21173,0.05357,u,w,v,0.07018,t,t,0.16418,t,g,0.217,0.00035,S
b,0.20301,0.05661,u,cc,h,0.06439,t,t,0.1791,t,g,0.2915,0.00713,S
a,0.1391,0.41964,u,x,h,0.01754,t,t,0.02985,t,g,0.15,0.00551,S
