@relation 'Libras Movement.arff'

@attribute att01 numeric
@attribute att11 numeric
@attribute att21 numeric
@attribute att31 numeric
@attribute att41 numeric
@attribute att51 numeric
@attribute att61 numeric
@attribute att71 numeric
@attribute att81 numeric
@attribute att91 numeric
@attribute att101 numeric
@attribute att111 numeric
@attribute att121 numeric
@attribute att131 numeric
@attribute att141 numeric
@attribute att151 numeric
@attribute att161 numeric
@attribute att171 numeric
@attribute att181 numeric
@attribute att191 numeric
@attribute att201 numeric
@attribute att211 numeric
@attribute att221 numeric
@attribute att231 numeric
@attribute att241 numeric
@attribute att251 numeric
@attribute att261 numeric
@attribute att271 numeric
@attribute att281 numeric
@attribute att291 numeric
@attribute att301 numeric
@attribute att311 numeric
@attribute att321 numeric
@attribute att331 numeric
@attribute att341 numeric
@attribute att351 numeric
@attribute att361 numeric
@attribute att371 numeric
@attribute att381 numeric
@attribute att391 numeric
@attribute att401 numeric
@attribute att411 numeric
@attribute att421 numeric
@attribute att431 numeric
@attribute att441 numeric
@attribute att451 numeric
@attribute att461 numeric
@attribute att471 numeric
@attribute att481 numeric
@attribute att491 numeric
@attribute att501 numeric
@attribute att511 numeric
@attribute att521 numeric
@attribute att531 numeric
@attribute att541 numeric
@attribute att551 numeric
@attribute att561 numeric
@attribute att571 numeric
@attribute att581 numeric
@attribute att591 numeric
@attribute att601 numeric
@attribute att611 numeric
@attribute att621 numeric
@attribute att631 numeric
@attribute att641 numeric
@attribute att651 numeric
@attribute att661 numeric
@attribute att671 numeric
@attribute att681 numeric
@attribute att691 numeric
@attribute att701 numeric
@attribute att711 numeric
@attribute att721 numeric
@attribute att731 numeric
@attribute att741 numeric
@attribute att751 numeric
@attribute att761 numeric
@attribute att771 numeric
@attribute att781 numeric
@attribute att791 numeric
@attribute att801 numeric
@attribute att811 numeric
@attribute att821 numeric
@attribute att831 numeric
@attribute att841 numeric
@attribute att851 numeric
@attribute att861 numeric
@attribute att871 numeric
@attribute att881 numeric
@attribute att891 numeric
@attribute class {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15}

@data
0.83909,0.31661,0.84211,0.30937,0.84247,0.31131,0.83716,0.31446,0.81337,0.28572,0.76279,0.25,0.68764,0.21656,0.5814,0.21154,0.45775,0.2532,0.35308,0.34186,0.2673,0.45277,0.21759,0.62623,0.25,0.69898,0.26964,0.9831,0.27371,0.97464,0.27886,0.85416,0.28241,0.67419,0.28535,0.51839,0.33076,0.40334,0.40267,0.33876,0.53562,0.27778,0.66246,0.23825,0.75305,0.25168,0.81554,0.2707,0.85035,0.28249,0.86206,0.28689,0.84054,0.32581,0.78588,0.261,0.68337,0.23053,0.57411,0.26235,0.44018,0.33231,0.32935,0.47814,0.24824,0.64607,0.22542,0.78431,0.2662,0.89049,0.28863,1,0.32763,1,0.33055,0.83507,0.31447,0.73809,0.30316,0.70518,0.31116,0.57975,0.37155,0.48796,0.46844,0.41691,0.56039,0.3512,0.63619,0.32717,1
0.69886,0.16928,0.7048,0.16875,0.7032,0.16981,0.70183,0.17296,0.69816,0.16826,0.67674,0.15506,0.64336,0.14332,0.58837,0.13782,0.51174,0.13462,0.42179,0.15974,0.32697,0.20196,0.26852,0.26885,0.25646,0.33418,0.21868,0.56901,0.18319,0.69295,0.15687,0.77679,0.11575,0.84193,0.04715,0.87959,0.01293,0.85666,0,0.77525,0.05013,0.6536,0.15868,0.5,0.25428,0.37584,0.34951,0.26433,0.4513,0.18079,0.55172,0.14481,0.64465,0.16129,0.73121,0.18554,0.77449,0.2243,0.81411,0.27777,0.80861,0.28923,0.78282,0.32944,0.73302,0.33146,0.67625,0.29973,0.60185,0.25072,0.5,0.19754,0.44111,0.2018,0.37448,0.25654,0.30399,0.35449,0.22736,0.52888,0.15022,0.6595,0.12951,0.76205,0.15072,0.8105,0.16237,0.79088,0.16732,0.781,1
0.74943,0.11912,0.75514,0.11875,0.75342,0.11949,0.75229,0.12264,0.75115,0.12381,0.73954,0.12342,0.68764,0.11465,0.57908,0.11859,0.45775,0.15064,0.3673,0.24282,0.29356,0.34528,0.24306,0.5082,0.26509,0.58419,0.27177,0.84789,0.27155,0.90704,0.2658,0.90475,0.2662,0.8,0.25558,0.59197,0.31784,0.41001,0.41334,0.3127,0.562,0.24511,0.70528,0.21477,0.81173,0.21477,0.89078,0.22293,0.91924,0.21468,0.89885,0.20219,0.836,0.21291,0.73577,0.18868,0.58997,0.18069,0.47529,0.2716,0.37798,0.38461,0.30071,0.56269,0.25995,0.72472,0.23261,0.81233,0.24999,0.85591,0.25227,0.86111,0.29978,0.75,0.33682,0.5445,0.39203,0.42592,0.45263,0.38297,0.51073,0.30369,0.59023,0.27109,0.67617,0.27988,0.7406,0.29758,0.78015,0.30871,1
0.56322,0.23824,0.56521,0.23749,0.56165,0.23899,0.55734,0.24214,0.5553,0.24444,0.54187,0.22785,0.50349,0.19426,0.42791,0.17629,0.32864,0.19552,0.22511,0.2556,0.13842,0.35179,0.08565,0.44262,0.09052,0.51275,0.09554,0.80281,0.09052,0.89858,0.08279,0.88393,0.04861,0.78709,0,0.64882,0,0.51999,0.02666,0.41368,0.12138,0.32353,0.2544,0.22484,0.39119,0.16107,0.50971,0.13058,0.61046,0.13841,0.67815,0.17486,0.7107,0.22903,0.71526,0.21384,0.67426,0.18692,0.60235,0.18827,0.48325,0.19999,0.35799,0.30321,0.25528,0.40731,0.17986,0.48459,0.15972,0.5245,0.12955,0.56172,0.15417,0.60843,0.15272,0.60209,0.14465,0.60053,0.14737,0.61703,0.16094,0.54908,0.22293,0.48494,0.31976,0.39942,0.40792,0.31367,0.48833,0.26913,1
0.68966,0.31975,0.69336,0.32187,0.69406,0.32389,0.69266,0.32391,0.69124,0.32064,0.67209,0.3038,0.61771,0.29618,0.53721,0.34295,0.45305,0.43269,0.41469,0.53355,0.40811,0.68079,0.43982,0.82622,0.5625,1,0.50955,0.95775,0.4806,0.8338,0.48148,0.68154,0.49769,0.50645,0.51613,0.34114,0.57106,0.21668,0.66933,0.15961,0.81795,0.17974,0.94206,0.27852,0.99511,0.43289,0.99029,0.46497,0.9715,0.37853,0.94712,0.29508,0.92027,0.26451,0.87016,0.17296,0.76537,0.14642,0.65176,0.20679,0.54306,0.29846,0.47256,0.45189,0.43091,0.56461,0.41966,0.64145,0.42824,0.73776,0.44545,0.88888,0.48608,0.9488,0.55439,1,0.54507,1,0.48631,0.96049,0.4485,0.91104,0.41826,0.76807,0.444,0.64432,0.47723,0.50134,0.52918,0.38258,1
0.88277,0.28527,0.89015,0.30937,0.879,0.32075,0.88073,0.31446,0.88018,0.37144,0.84186,0.4905,0.75524,0.59554,0.63256,0.68269,0.51643,0.72757,0.42179,0.71247,0.36277,0.66775,0.36343,0.59017,0.41595,0.42347,0.45223,0.46478,0.47845,0.39155,0.49237,0.33929,0.48611,0.34194,0.45658,0.41472,0.47287,0.50667,0.52267,0.58632,0.63588,0.62092,0.77077,0.60738,0.88263,0.57382,0.95145,0.47134,0.97387,0.31639,0.96551,0.21312,0.96584,0.1871,0.9795,0.22957,0.96811,0.3458,0.94824,0.47531,0.86603,0.56307,0.75418,0.67055,0.62062,0.74439,0.4988,0.7451,0.4375,0.6513,0.41136,0.49691,0.45182,0.33735,0.48327,0.25131,0.48638,0.29365,0.47368,0.45897,0.47854,0.57668,0.54565,0.66266,0.64969,0.69096,0.75248,0.64611,0.83657,0.59103,1
0.74253,0.72101,0.7437,0.71875,0.73744,0.73584,0.73853,0.72956,0.74194,0.70159,0.73721,0.69936,0.71095,0.60191,0.64884,0.52564,0.58685,0.4936,0.50474,0.51438,0.40096,0.54072,0.31019,0.57705,0.31466,0.60204,0.26327,0.86479,0.22414,0.95493,0.21133,0.96428,0.20602,0.89355,0.17866,0.72575,0.2274,0.64333,0.25866,0.58957,0.40369,0.51961,0.56926,0.48994,0.67726,0.45302,0.75971,0.4809,0.81473,0.51977,0.85288,0.56557,0.87243,0.69678,0.86788,0.65094,0.81321,0.57633,0.73646,0.46296,0.62678,0.4923,0.51313,0.56852,0.37706,0.62922,0.29496,0.69467,0.26852,0.70029,0.23182,0.79939,0.24197,0.83433,0.24268,0.75392,0.24318,0.74074,0.2421,0.77812,0.26824,0.70859,0.32272,0.68374,0.40123,0.621,0.4911,0.55227,0.55642,0.54354,1
0.8138,0.61756,0.81693,0.61563,0.81964,0.61006,0.79129,0.53459,0.73272,0.40952,0.65117,0.3481,0.52913,0.40128,0.38372,0.47436,0.30986,0.55128,0.24644,0.65177,0.22911,0.83714,0.24769,0.88196,0.30388,0.72449,0.32484,0.76056,0.36853,0.6676,0.3987,0.58631,0.46529,0.49999,0.54094,0.44815,0.6305,0.44667,0.68799,0.43647,0.75461,0.51307,0.80353,0.55033,0.81418,0.71813,0.83253,0.69108,0.8266,0.56497,0.8092,0.43169,0.77221,0.48387,0.71753,0.42767,0.63325,0.42368,0.53646,0.42593,0.42344,0.46769,0.32697,0.56852,0.28805,0.66573,0.2518,0.72829,0.25695,0.83285,0.26591,0.93519,0.2955,0.82229,0.3159,0.59947,0.34801,0.53703,0.37263,0.56839,0.43991,0.50613,0.5329,0.52409,0.61711,0.56268,0.66733,0.53083,0.71012,0.60158,1
0.81609,0.65831,0.81693,0.65625,0.81278,0.63837,0.79358,0.49057,0.73963,0.35555,0.6628,0.32911,0.55244,0.30573,0.42326,0.34936,0.32629,0.40706,0.26777,0.47924,0.24344,0.56026,0.24537,0.61967,0.28017,0.57909,0.30786,0.87042,0.30389,0.85916,0.31155,0.67559,0.34722,0.55161,0.40198,0.43813,0.5013,0.39001,0.592,0.42671,0.68338,0.44117,0.75567,0.44296,0.8313,0.53692,0.90533,0.5828,0.94536,0.58192,0.94252,0.55464,0.90661,0.5871,0.83827,0.45912,0.72892,0.38006,0.62353,0.42593,0.5,0.42462,0.38425,0.5102,0.29742,0.62078,0.24221,0.67507,0.18981,0.70894,0.13182,0.79939,0.1606,0.78915,0.18828,0.68324,0.24948,0.55556,0.3221,0.58055,0.35837,0.52147,0.44374,0.50301,0.55804,0.51895,0.63565,0.52546,0.67899,0.54354,1
0.77701,0.59248,0.78032,0.59688,0.78083,0.59119,0.76606,0.55975,0.73733,0.44762,0.66977,0.39557,0.58741,0.42357,0.47209,0.42949,0.35446,0.46474,0.29147,0.55272,0.22673,0.59935,0.20139,0.76722,0.23276,0.68877,0.25902,0.85352,0.27155,0.79437,0.31808,0.67857,0.36343,0.53547,0.44418,0.45484,0.52455,0.47,0.61334,0.48534,0.69657,0.47713,0.77581,0.58389,0.82152,0.68457,0.83495,0.69108,0.82898,0.61582,0.8092,0.54371,0.7631,0.50646,0.69249,0.4371,0.56719,0.41434,0.42824,0.44753,0.28708,0.48,0.18377,0.60932,0.14052,0.77529,0.09832,0.88796,0.11342,0.94813,0.12046,0.93519,0.18844,0.81325,0.2364,0.59424,0.28931,0.49471,0.37052,0.49848,0.45493,0.50613,0.55201,0.52711,0.62525,0.53353,0.66931,0.54691,0.71401,0.60686,1
