@relation Musk.pre.arff

@attribute att01 {MUSK-jf78,MUSK-jf67,MUSK-jf59,MUSK-jf58,MUSK-jf47,MUSK-jf46,MUSK-jf17,MUSK-j51,MUSK-j33,MUSK-f205,MUSK-f184,MUSK-f159,MUSK-f158,MUSK-f152,MUSK-344,MUSK-333,MUSK-331,MUSK-330,MUSK-323,MUSK-322,MUSK-321,MUSK-316,MUSK-315,MUSK-314,MUSK-311,MUSK-301,MUSK-293,MUSK-292,MUSK-285,MUSK-284,MUSK-273,MUSK-272,MUSK-256,MUSK-254,MUSK-246,MUSK-240,MUSK-238,MUSK-236,MUSK-228,MUSK-227,MUSK-224,MUSK-219,MUSK-213,MUSK-212,MUSK-211,MUSK-190,MUSK-188,NON-MUSK-jp13,NON-MUSK-jp10,NON-MUSK-j97,NON-MUSK-j96,NON-MUSK-j93,NON-MUSK-j90,NON-MUSK-j84,NON-MUSK-j83,NON-MUSK-j81,NON-MUSK-j148,NON-MUSK-j147,NON-MUSK-j146,NON-MUSK-j130,NON-MUSK-j129,NON-MUSK-j100,NON-MUSK-f209,NON-MUSK-f164,NON-MUSK-f161,NON-MUSK-f150,NON-MUSK-334,NON-MUSK-327,NON-MUSK-320,NON-MUSK-319,NON-MUSK-318,NON-MUSK-309,NON-MUSK-308,NON-MUSK-305,NON-MUSK-297,NON-MUSK-296,NON-MUSK-295,NON-MUSK-290,NON-MUSK-289,NON-MUSK-288,NON-MUSK-286,NON-MUSK-271,NON-MUSK-257,NON-MUSK-253,NON-MUSK-249,NON-MUSK-247,NON-MUSK-232,NON-MUSK-226,NON-MUSK-220,NON-MUSK-208,NON-MUSK-200,NON-MUSK-199}
@attribute att11 numeric
@attribute att21 numeric
@attribute att31 numeric
@attribute att41 numeric
@attribute att51 numeric
@attribute att61 numeric
@attribute att71 numeric
@attribute att81 numeric
@attribute att91 numeric
@attribute att101 numeric
@attribute att111 numeric
@attribute att121 numeric
@attribute att131 numeric
@attribute att141 numeric
@attribute att151 numeric
@attribute att161 numeric
@attribute att171 numeric
@attribute att181 numeric
@attribute att191 numeric
@attribute att201 numeric
@attribute att211 numeric
@attribute att221 numeric
@attribute att231 numeric
@attribute att241 numeric
@attribute att251 numeric
@attribute att261 numeric
@attribute att271 numeric
@attribute att281 numeric
@attribute att291 numeric
@attribute att301 numeric
@attribute att311 numeric
@attribute att321 numeric
@attribute att331 numeric
@attribute att341 numeric
@attribute att351 numeric
@attribute att361 numeric
@attribute att371 numeric
@attribute att381 numeric
@attribute att391 numeric
@attribute att401 numeric
@attribute att411 numeric
@attribute att421 numeric
@attribute att431 numeric
@attribute att441 numeric
@attribute att451 numeric
@attribute att461 numeric
@attribute att471 numeric
@attribute att481 numeric
@attribute att491 numeric
@attribute att501 numeric
@attribute att511 numeric
@attribute att521 numeric
@attribute att531 numeric
@attribute att541 numeric
@attribute att551 numeric
@attribute att561 numeric
@attribute att571 numeric
@attribute att581 numeric
@attribute att591 numeric
@attribute att601 numeric
@attribute att611 numeric
@attribute att621 numeric
@attribute att631 numeric
@attribute att641 numeric
@attribute att651 numeric
@attribute att661 numeric
@attribute att671 numeric
@attribute att681 numeric
@attribute att691 numeric
@attribute att701 numeric
@attribute att711 numeric
@attribute att721 numeric
@attribute att731 numeric
@attribute att741 numeric
@attribute att751 numeric
@attribute att761 numeric
@attribute att771 numeric
@attribute att781 numeric
@attribute att791 numeric
@attribute att801 numeric
@attribute att811 numeric
@attribute att821 numeric
@attribute att831 numeric
@attribute att841 numeric
@attribute att851 numeric
@attribute att861 numeric
@attribute att871 numeric
@attribute att881 numeric
@attribute att891 numeric
@attribute att901 numeric
@attribute att911 numeric
@attribute att921 numeric
@attribute att931 numeric
@attribute att941 numeric
@attribute att951 numeric
@attribute att961 numeric
@attribute att971 numeric
@attribute att981 numeric
@attribute att991 numeric
@attribute att1001 numeric
@attribute att1011 numeric
@attribute att1021 numeric
@attribute att1031 numeric
@attribute att1041 numeric
@attribute att1051 numeric
@attribute att1061 numeric
@attribute att1071 numeric
@attribute att1081 numeric
@attribute att1091 numeric
@attribute att1101 numeric
@attribute att1111 numeric
@attribute att1121 numeric
@attribute att1131 numeric
@attribute att1141 numeric
@attribute att1151 numeric
@attribute att1161 numeric
@attribute att1171 numeric
@attribute att1181 numeric
@attribute att1191 numeric
@attribute att1201 numeric
@attribute att1211 numeric
@attribute att1221 numeric
@attribute att1231 numeric
@attribute att1241 numeric
@attribute att1251 numeric
@attribute att1261 numeric
@attribute att1271 numeric
@attribute att1281 numeric
@attribute att1291 numeric
@attribute att1301 numeric
@attribute att1311 numeric
@attribute att1321 numeric
@attribute att1331 numeric
@attribute att1341 numeric
@attribute att1351 numeric
@attribute att1361 numeric
@attribute att1371 numeric
@attribute att1381 numeric
@attribute att1391 numeric
@attribute att1401 numeric
@attribute att1411 numeric
@attribute att1421 numeric
@attribute att1431 numeric
@attribute att1441 numeric
@attribute att1451 numeric
@attribute att1461 numeric
@attribute att1471 numeric
@attribute att1481 numeric
@attribute att1491 numeric
@attribute att1501 numeric
@attribute att1511 numeric
@attribute att1521 numeric
@attribute att1531 numeric
@attribute att1541 numeric
@attribute att1551 numeric
@attribute att1561 numeric
@attribute att1571 numeric
@attribute att1581 numeric
@attribute att1591 numeric
@attribute att1601 numeric
@attribute att1611 numeric
@attribute att1621 numeric
@attribute att1631 numeric
@attribute att1641 numeric
@attribute att1651 numeric
@attribute att1661 numeric
@attribute class {0,1}

@data
MUSK-188,0.36691,0.00337,0.22892,0.14706,0,0.50781,0.5026,0.34129,0.56764,0.51195,0.22042,0.21839,0.56325,0.14762,0.01355,0.05438,0.48,0.5255,0.19604,0.11434,0.46964,0.50599,0.4638,0.47382,0.59551,0.64444,0.51657,0.11897,0.51402,0.5267,0.00325,0.11986,0.22449,0.65079,0.05483,0.03636,0,0.7423,0.008,0.68108,0.04779,0.1875,0.56863,0.14387,0.09211,0.19647,0.0824,0.7201,0.28953,0.34497,0.34186,0.49008,0.53973,0.22145,0.69892,0.58836,0.5213,0.02768,0.58757,0.66435,0.0029,0,0.53073,0.46043,0.05618,0.2199,0.00234,0.60623,0.00295,0.575,0.10895,0.00806,0.38681,0.20444,0.13861,0.07937,0.53301,0.22269,0.1899,0.05349,0.53968,0.5,0.3556,0.17192,0.53086,0.54242,0.16199,0.54717,0.37956,0.55916,0,0.02674,0.01695,0.55556,0.45575,0.05172,0.06906,0.57922,0.06897,0.59231,0.01342,0.20861,0.09949,0.0747,0.03836,0.26609,0.22781,0.8,0.00693,0.03448,0.02168,0.42589,0.45742,0.47541,0.53319,0.70387,0.51074,0.6763,0.48775,0.23796,0.53846,0.68814,0.63659,0.03427,0.03741,0.16575,0.78431,0.59081,0.68103,0.00294,0.45726,0.00645,0.51205,0.33712,0.31126,0.53293,0.63566,0.25994,0.61198,0.50507,0.36466,0.72452,0.63612,0.70393,0.0028,0.01441,0.10156,0.50149,0.33036,0.63562,0.13279,0.01792,0.00313,0.01176,0.29739,0.00645,0.03562,0.63131,0.22564,0.04688,0.23219,0.29268,0.04869,0.60897,0.77647,0.33225,1
MUSK-188,0.36691,0.02694,0.09639,0.18382,0,0.6224,0.57031,0.14558,0.52255,0.5757,0.00464,0.40421,0.46539,0.15952,0.09485,0.04532,0.79714,0.35033,0.37624,0.37984,0.54049,0.47605,0.57919,0.68325,0.48876,0.50617,0.70442,0.32154,0.23988,0.61165,0.00325,0.12329,0.22741,0.63492,0.05483,0.03273,0.0401,0.54062,0.008,0.59189,0.07721,0.1875,0.56645,0.04717,0.21316,0.00883,0.25843,0.56234,0.35635,0.55236,0.46435,0.49292,0.52603,0.01399,0.58602,0.39085,0.64662,0.15917,0.49718,0.60417,0.0029,0,0.53073,0.73381,0.10861,0.2199,0.00234,0.32861,0.00295,0.39444,0.08171,0.00806,0.05495,0.32,0.43564,0.07937,0.61125,0.06092,0.4101,0.04186,0.53741,0.48913,0.52456,0.61032,0.58519,0.5527,0.41745,0.15409,0.13869,0.67285,0,0.02674,0.01695,0.03571,0.45575,0.04926,0.43646,0.56104,0.00493,0.58974,0.06376,0.20861,0.17602,0.02651,0.08951,0.04506,0.09172,0.49565,0.15012,0.17529,0.1084,0.5595,0.53528,0.55464,0.60398,0.5467,0.62053,0.70809,0.67402,0.65722,0.54377,0.48454,0.59024,0.03427,0.04082,0.17127,0.6348,0.64333,0.42672,0.00294,0.45726,0.00645,0.49197,0.40152,0.26049,0.32335,0.65116,0.39755,0.59115,0.50913,0.49812,0.52066,0.54178,0.55287,0.0028,0.01441,0.09375,0.42985,0.43155,0.66849,0.13279,0.00717,0.00313,0.01176,0.29739,0.00645,0.03562,0.05556,0.71026,0.04688,0.22955,0.29539,0.04869,0.60897,0.77353,0.33225,1
MUSK-188,0.36691,0.02694,0.09639,0.14706,0,0.50781,0.57031,0.16706,0.52255,0.50996,0.11369,0.40421,0.56086,0.17619,0.01897,0.04532,0.79429,0.35033,0.37822,0.11628,0.54049,0.47605,0.57919,0.4712,0.59551,0.50617,0.70718,0.32154,0.51402,0.5267,0.00325,0.12329,0.22449,0.65306,0.05483,0.03636,0,0.54342,0.008,0.59189,0.08088,0.1875,0.56645,0.11792,0.18158,0.02649,0.25468,0.56234,0.35857,0.34497,0.46435,0.49292,0.52603,0.06061,0.70161,0.39293,0.64662,0.15917,0.58757,0.66435,0.0029,0,0.53073,0.46043,0.05618,0.22513,0.00234,0.32861,0.00295,0.39444,0.08171,0.00806,0.38242,0.32,0.13614,0.07937,0.61125,0.08403,0.4101,0.07907,0.53741,0.48913,0.52456,0.17479,0.5284,0.5527,0.41745,0.15409,0.37956,0.55684,0,0.02674,0.01695,0.55556,0.45575,0.05172,0.06906,0.56104,0.00493,0.59231,0.06376,0.20861,0.10714,0.09639,0.07161,0.04506,0.08876,0.49565,0.00693,0.12931,0.05149,0.5595,0.53285,0.55464,0.5354,0.70387,0.51074,0.71098,0.67402,0.65722,0.53581,0.68557,0.63659,0.03427,0.04082,0.17127,0.78431,0.59081,0.68103,0.00294,0.45726,0.00645,0.49197,0.40152,0.26711,0.32335,0.65375,0.3945,0.59115,0.50913,0.49812,0.52066,0.54178,0.55287,0.0028,0.01441,0.10156,0.42985,0.43155,0.67123,0.13279,0.01792,0.00313,0.01176,0.29739,0.00645,0.03562,0.63384,0.23077,0.04688,0.23219,0.29268,0.04869,0.60897,0.77353,0.3355,1
MUSK-188,0.36691,0.00337,0.2249,0.18382,0,0.6224,0.5026,0.32458,0.56764,0.5757,0.06032,0.21839,0.46539,0.1619,0.02168,0.05136,0.48286,0.52772,0.19604,0.38178,0.46964,0.50299,0.4638,0.68325,0.49157,0.64444,0.51381,0.11576,0.23988,0.61165,0.00325,0.12329,0.22741,0.63719,0.05483,0.03273,0.0401,0.7423,0.008,0.67838,0.04779,0.18466,0.56645,0.13443,0.09211,0.01766,0.0824,0.7201,0.29176,0.55236,0.34004,0.49008,0.53973,0.01632,0.58602,0.58836,0.5213,0.02768,0.49435,0.60185,0.0029,0,0.53073,0.73381,0.10861,0.2199,0.00234,0.60623,0.00295,0.575,0.10895,0.00806,0.12967,0.20444,0.43564,0.07937,0.53301,0.18487,0.1899,0.0814,0.53968,0.5,0.3556,0.61318,0.58272,0.53985,0.16199,0.54403,0.14234,0.67285,0,0.02674,0.01695,0.03571,0.45575,0.04926,0.4337,0.57922,0.06897,0.58974,0.01342,0.20861,0.17602,0.09157,0.04859,0.22318,0.23077,0.8029,0.10162,0.03448,0.02168,0.4238,0.45742,0.47541,0.60398,0.54897,0.62291,0.67341,0.48775,0.23796,0.54642,0.48196,0.59024,0.03427,0.04082,0.17127,0.63235,0.64551,0.42457,0.00294,0.45726,0.00645,0.51205,0.33712,0.31126,0.53293,0.63566,0.25994,0.61458,0.50507,0.36466,0.72176,0.63612,0.70091,0.0028,0.01441,0.10156,0.50149,0.33036,0.63562,0.13279,0.00717,0.00313,0.01176,0.29739,0.00645,0.03562,0.05556,0.71026,0.04688,0.22955,0.29268,0.04869,0.60897,0.77647,0.33225,1
MUSK-190,0.36691,0.00337,0.25703,0.14706,0,0.50521,0.50521,0.34368,0.56764,0.50996,0.2181,0.21839,0.56086,0.14762,0.01626,0.0574,0.48,0.52772,0.19802,0.11822,0.46964,0.50599,0.4638,0.46859,0.59831,0.64444,0.51657,0.11576,0.51402,0.5267,0.00325,0.69863,0.27988,0.65306,0.06527,0.18182,0,0.7423,0.068,0.68108,0.04779,0.71875,0.56645,0.14151,0.09211,0.19647,0.0824,0.7201,0.29399,0.34497,0.34004,0.49008,0.53973,0.22145,0.70161,0.58836,0.52381,0.02768,0.58475,0.66435,0.0029,0.10598,0.51955,0.46043,0.05618,0.27225,0.00234,0.6034,0.03245,0.575,0.1323,0.14919,0.38242,0.20444,0.13614,0.07937,0.53301,0.22269,0.19192,0.05581,0.53968,0.5,0.3556,0.17192,0.5284,0.53985,0.16199,0.54403,0.37956,0.55684,0,0.48128,0.01977,0.55556,0.4646,0.08867,0.0663,0.57922,0.14286,0.59231,0.01342,0.56623,0.09949,0.0747,0.03836,0.26824,0.23077,0.8029,0.00693,0.03736,0.02439,0.42589,0.45742,0.47541,0.5354,0.70387,0.51074,0.67341,0.48775,0.23796,0.53846,0.68557,0.63659,0.04361,0.12585,0.19337,0.78676,0.59081,0.68319,0.00294,0.47436,0.00645,0.51205,0.33712,0.31126,0.52994,0.63566,0.25688,0.61458,0.50507,0.36654,0.72176,0.63881,0.70393,0.0056,0.01441,0.10156,0.50149,0.33036,0.63562,0.1626,0.01792,0.00313,0.2,0.79085,0.24516,0.03562,0.63384,0.23077,0.58125,0.67018,0.60163,0.02996,0.65385,0.8,0.31922,1
MUSK-190,0.36691,0.02694,0.09639,0.18382,0,0.6224,0.57031,0.14558,0.52255,0.57769,0.00696,0.40613,0.46778,0.1619,0.09485,0.04834,0.79714,0.35255,0.37822,0.37984,0.54251,0.47605,0.57919,0.68063,0.49157,0.50617,0.70166,0.32154,0.23676,0.60922,0.00325,0.70205,0.27988,0.63719,0.06266,0.17818,0.0401,0.54062,0.032,0.58919,0.11029,0.72159,0.56863,0.04953,0.21579,0.01104,0.25843,0.56489,0.35635,0.55236,0.46618,0.49292,0.52329,0.01399,0.58871,0.39085,0.64662,0.15571,0.49718,0.60417,0.0029,0.1087,0.51955,0.73381,0.10861,0.26702,0.00234,0.32578,0.0531,0.39167,0.07782,0.08468,0.05714,0.32222,0.43564,0.0873,0.61125,0.06303,0.41212,0.03953,0.53741,0.48913,0.52652,0.61032,0.58519,0.5527,0.41745,0.15409,0.13869,0.67285,0,0.48128,0.01977,0.0377,0.4646,0.08128,0.43923,0.56104,0,0.58974,0.13423,0.56291,0.17602,0.02892,0.09207,0.04721,0.09467,0.49855,0.14781,0.17816,0.1084,0.56159,0.53528,0.55191,0.60398,0.5467,0.62291,0.70809,0.67157,0.65439,0.54377,0.48196,0.59024,0.04361,0.12925,0.1989,0.63725,0.64551,0.42888,0.00294,0.46581,0.00645,0.49398,0.40341,0.2649,0.32036,0.65116,0.40367,0.58854,0.50913,0.5,0.51791,0.53908,0.55287,0.0056,0.01441,0.09375,0.42388,0.42857,0.66575,0.15989,0.00358,0.00313,0.20392,0.79085,0.32258,0.03562,0.06061,0.71282,0.58125,0.66755,0.59892,0.02622,0.64744,0.8,0.31922,1
MUSK-190,0.36691,0.0303,0.09639,0.14706,0,0.51042,0.57031,0.16706,0.52255,0.50797,0.11601,0.40613,0.55847,0.17619,0.01897,0.04834,0.79714,0.35255,0.37822,0.11822,0.54049,0.47605,0.57692,0.46597,0.59551,0.50617,0.70442,0.31833,0.51713,0.52913,0.00325,0.71918,0.27114,0.65533,0.06527,0.17455,0,0.54062,0.028,0.59189,0.11765,0.72443,0.56645,0.12028,0.18684,0.0287,0.25843,0.56234,0.35857,0.34292,0.46618,0.49292,0.52329,0.05828,0.70161,0.39085,0.64662,0.15571,0.5904,0.66435,0.0029,0.13587,0.51397,0.46283,0.05618,0.26702,0.00234,0.32578,0.0413,0.39167,0.07782,0.08871,0.38022,0.32222,0.13366,0.07937,0.61125,0.08613,0.41212,0.0814,0.53741,0.48913,0.52652,0.17192,0.5284,0.55527,0.41745,0.15409,0.38321,0.55916,0,0.49733,0.01977,0.55754,0.4646,0.06404,0.06906,0.56104,0,0.58974,0.1443,0.56954,0.10459,0.09639,0.07417,0.04721,0.09467,0.49855,0.00924,0.13218,0.05149,0.5595,0.53285,0.55191,0.5354,0.70387,0.51074,0.70809,0.67402,0.65439,0.53581,0.68814,0.63659,0.0405,0.16667,0.19337,0.78676,0.593,0.68319,0.00294,0.47863,0.00645,0.49398,0.40341,0.26932,0.32036,0.65116,0.40061,0.58854,0.50913,0.5,0.52066,0.54178,0.55287,0.0056,0.01441,0.09375,0.42687,0.43155,0.66849,0.15989,0.01792,0.00313,0.22745,0.80065,0.40645,0.03562,0.63636,0.2359,0.58125,0.65963,0.59892,0.03371,0.65385,0.8,0.32899,1
MUSK-190,0.36691,0,0.25703,0.18382,0,0.6224,0.5026,0.32697,0.56499,0.57769,0.06497,0.21839,0.46778,0.1619,0.02439,0.05438,0.48286,0.52772,0.19802,0.37984,0.46964,0.50599,0.4638,0.68063,0.49157,0.64444,0.51381,0.11576,0.23676,0.61165,0.00325,0.70205,0.2828,0.63719,0.06527,0.18182,0.0401,0.7395,0.068,0.67838,0.04779,0.71875,0.56863,0.13679,0.09474,0.01766,0.0824,0.7201,0.29621,0.55236,0.34004,0.49008,0.53973,0.01632,0.58871,0.58836,0.5213,0.02768,0.49718,0.60417,0.0029,0.10598,0.51955,0.73621,0.10861,0.26702,0.00234,0.6034,0.0295,0.57222,0.1323,0.14919,0.13407,0.20667,0.43564,0.0873,0.53301,0.18697,0.19192,0.0814,0.53968,0.5,0.3556,0.61032,0.58519,0.53985,0.16199,0.54403,0.13869,0.67285,0,0.48663,0.0226,0.0377,0.4646,0.08128,0.43923,0.57922,0.14286,0.58974,0.01007,0.56623,0.17602,0.09398,0.04859,0.22747,0.23669,0.8029,0.09931,0.03736,0.02439,0.42589,0.45742,0.47541,0.60398,0.54442,0.62291,0.67052,0.48529,0.23513,0.54377,0.48454,0.59024,0.04673,0.12925,0.1989,0.63725,0.64551,0.42888,0.00294,0.46581,0.00645,0.51205,0.33712,0.31347,0.52994,0.63566,0.25688,0.61458,0.5071,0.36654,0.72176,0.63612,0.70393,0.0056,0.01441,0.09375,0.49851,0.32738,0.63288,0.1626,0.00358,0.00313,0.2,0.79085,0.25161,0.03562,0.06061,0.71282,0.58125,0.66755,0.60163,0.02622,0.65385,0.8,0.31596,1
MUSK-211,0.35252,0.08754,0.09639,0.47059,0.00282,0.46094,0.57292,0.1432,0.5252,0.36056,0.01392,0.40038,0.1432,0.14762,0.0271,0.04834,0.80286,0.3459,0.37228,0.13953,0.54251,0.48204,0.58145,0.28272,0.41011,0.5037,0.70994,0.30225,0.50779,0.58738,0.00325,0.83904,0.28571,0.72109,0.24021,0.17091,0.02256,0.54622,0.004,0.6027,0.16176,0.74148,0.20697,0.05189,0.18158,0.01545,0.26217,0.56743,0.34967,0.32033,0.46435,0.49575,0.53151,0.02564,0.62634,0.39085,0.65163,0.15571,0.53955,0.6088,0.07536,0.58424,0.40782,0.63309,0.56929,0.27749,0.00234,0.33711,0.00295,0.40556,0.08949,0.10484,0.06813,0.31111,0.03218,0.07937,0.61125,0.06513,0.40606,0.04651,0.54195,0.49457,0.52652,0.66189,0.52346,0.5527,0.43614,0.14465,0.43066,0.54524,0.01351,0.59893,0.38983,0.4127,0.45575,0.06897,0.45856,0.56104,0,0.59744,0.21812,0.58278,0.02551,0.02892,0.05627,0.04936,0.09467,0.49565,0.01155,0.12931,0.0542,0.56367,0.54015,0.56284,0.59735,0.69248,0.44391,0.70231,0.67402,0.65722,0.48276,0.64948,0.53171,0.1215,0.56463,0.17127,0.69608,0.66302,0.57543,0.44118,0.55983,0.03871,0.49197,0.39773,0.25166,0.32335,0.65633,0.40061,0.59635,0.50913,0.49812,0.52893,0.54987,0.55589,0.0056,0.02017,0.08594,0.43881,0.44643,0.67671,0.2439,0.32258,0.26959,0.39216,0.86275,0.64194,0.04071,0.68434,0.60769,0.54063,0.56464,0.57182,0.1161,0.66667,0.79706,0.42345,1
MUSK-211,0.38129,0.13468,0.41365,0.15074,0,0.52344,0.45573,0.27924,0.55968,0.5,0.09281,0.159,0.54654,0.08095,0.03252,0.06647,0.72286,0.27494,0.22376,0.12597,0.34413,0.47605,0.52715,0.43979,0.5927,0.63457,0.65193,0.05466,0.5296,0.53641,0.00325,0.16781,0.33236,0.67347,0.00783,0.40727,0,0.68627,0.392,0.62162,0.51838,0.46875,0.55556,0.05896,0.06053,0.13024,0.21348,0.59288,0.28731,0.3347,0.234,0.48442,0.59726,0.11422,0.7043,0.55509,0.41855,0.11419,0.60169,0.66667,0.0058,0.11685,0.56425,0.48201,0.05243,0.32461,0.00234,0.60057,0.52507,0.55278,0.44747,0.41532,0.35165,0.11111,0.12376,0.10317,0.61858,0.09034,0.19394,0.04419,0.43084,0.45109,0.37132,0.16046,0.53086,0.55527,0.54517,0.32704,0.39781,0.56381,0,0.24064,0.04237,0.56349,0.30088,0.57882,0.07459,0.47013,0.40887,0.42564,0.50336,0.4404,0.09949,0.05783,0.03325,0.1588,0.31361,0.73913,0.01386,0.0431,0.02439,0.4238,0.44282,0.54645,0.54867,0.70387,0.50835,0.58092,0.46814,0.62323,0.53846,0.6933,0.6439,0.49533,0.04082,0.49724,0.78922,0.60613,0.6875,0,0.02991,0.03871,0.30522,0.15152,0.15453,0.53293,0.52972,0.55657,0.65365,0.51927,0.41165,0.69146,0.44744,0.46526,0.0056,0.01441,0.07813,0.54627,0.54762,0.59452,0.10027,0.01434,0.00313,0.48235,0.42484,0.40645,0.04326,0.66162,0.27179,0.38438,0.73615,0.57453,0.03745,0.60897,0.73235,0.15309,1
