@relation 'Pittsburgh Bridges V2.arff'

@attribute att01 {A,M,O,Y}
@attribute att11 numeric
@attribute att21 {CRAFTS,EMERGING,MATURE,MODERN}
@attribute att31 {WALK,AQUEDUCT,RR,HIGHWAY}
@attribute att41 {SHORT,MEDIUM,LONG}
@attribute att51 {1,2,4,6}
@attribute att61 {N,G}
@attribute att71 {THROUGH,DECK}
@attribute att81 {WOOD,IRON,STEEL}
@attribute att91 {SHORT,MEDIUM,LONG}
@attribute att101 {S,S-F,F}
@attribute class {WOOD,SUSPEN,SIMPLE-T,ARCH,CANTILEV,CONT-T}

@data
M,0.03922,CRAFTS,HIGHWAY,MEDIUM,2,N,THROUGH,WOOD,SHORT,S,WOOD
A,0.47059,CRAFTS,HIGHWAY,MEDIUM,2,N,THROUGH,WOOD,SHORT,S,WOOD
A,0.7451,CRAFTS,AQUEDUCT,MEDIUM,1,N,THROUGH,WOOD,MEDIUM,S,WOOD
A,0.54902,CRAFTS,HIGHWAY,MEDIUM,2,N,THROUGH,WOOD,SHORT,S,WOOD
M,0.43137,CRAFTS,HIGHWAY,MEDIUM,2,N,THROUGH,WOOD,MEDIUM,S,WOOD
A,0.5098,CRAFTS,HIGHWAY,SHORT,2,N,THROUGH,WOOD,MEDIUM,S,WOOD
A,0.52941,CRAFTS,AQUEDUCT,MEDIUM,1,N,THROUGH,IRON,SHORT,S,SUSPEN
M,0.03922,CRAFTS,HIGHWAY,MEDIUM,2,N,THROUGH,IRON,SHORT,S,SUSPEN
A,0.7451,CRAFTS,AQUEDUCT,MEDIUM,1,N,DECK,WOOD,MEDIUM,S,WOOD
A,0.54902,CRAFTS,HIGHWAY,MEDIUM,2,N,THROUGH,WOOD,MEDIUM,S,WOOD
A,0.7451,CRAFTS,RR,MEDIUM,2,N,DECK,WOOD,MEDIUM,S,WOOD
M,0.09804,CRAFTS,HIGHWAY,MEDIUM,2,N,THROUGH,WOOD,MEDIUM,S,WOOD
A,0.62745,CRAFTS,HIGHWAY,MEDIUM,2,N,THROUGH,WOOD,MEDIUM,S,WOOD
A,0.52941,CRAFTS,RR,MEDIUM,2,N,THROUGH,WOOD,MEDIUM,S,WOOD
A,0.47059,CRAFTS,HIGHWAY,MEDIUM,2,N,THROUGH,IRON,MEDIUM,S-F,SUSPEN
M,0.05882,CRAFTS,RR,MEDIUM,2,N,THROUGH,IRON,MEDIUM,F,SIMPLE-T
A,0.52941,CRAFTS,RR,MEDIUM,2,N,THROUGH,IRON,SHORT,S,SIMPLE-T
A,0.54902,CRAFTS,HIGHWAY,MEDIUM,2,N,THROUGH,WOOD,MEDIUM,S,WOOD
A,0.60784,EMERGING,HIGHWAY,MEDIUM,2,N,THROUGH,WOOD,MEDIUM,S,WOOD
