@relation Protein.arff

@attribute att01 numeric
@attribute att11 numeric
@attribute att21 numeric
@attribute att31 numeric
@attribute att41 numeric
@attribute att51 numeric
@attribute att61 numeric
@attribute att71 numeric
@attribute att81 numeric
@attribute att91 numeric
@attribute att101 numeric
@attribute att111 numeric
@attribute att121 numeric
@attribute att131 numeric
@attribute att141 numeric
@attribute att151 numeric
@attribute att161 numeric
@attribute att171 numeric
@attribute att181 numeric
@attribute att191 numeric
@attribute att201 numeric
@attribute att211 numeric
@attribute att221 numeric
@attribute att231 numeric
@attribute att241 numeric
@attribute att251 numeric
@attribute att261 numeric
@attribute att271 numeric
@attribute att281 numeric
@attribute att291 numeric
@attribute att301 numeric
@attribute att311 numeric
@attribute att321 numeric
@attribute att331 numeric
@attribute att341 numeric
@attribute att351 numeric
@attribute att361 numeric
@attribute att371 numeric
@attribute att381 numeric
@attribute att391 numeric
@attribute att401 numeric
@attribute att411 numeric
@attribute att421 numeric
@attribute att431 numeric
@attribute att441 numeric
@attribute att451 numeric
@attribute att461 numeric
@attribute att471 numeric
@attribute att481 numeric
@attribute att491 numeric
@attribute att501 numeric
@attribute att511 numeric
@attribute att521 numeric
@attribute att531 numeric
@attribute att541 numeric
@attribute att551 numeric
@attribute att561 numeric
@attribute att571 numeric
@attribute att581 numeric
@attribute att591 numeric
@attribute att601 numeric
@attribute att611 numeric
@attribute att621 numeric
@attribute att631 numeric
@attribute att641 numeric
@attribute att651 numeric
@attribute att661 numeric
@attribute att671 numeric
@attribute att681 numeric
@attribute att691 numeric
@attribute att701 numeric
@attribute att711 numeric
@attribute att721 numeric
@attribute att731 numeric
@attribute att741 numeric
@attribute att751 numeric
@attribute att761 numeric
@attribute att771 numeric
@attribute att781 numeric
@attribute att791 numeric
@attribute att801 numeric
@attribute att811 numeric
@attribute att821 numeric
@attribute att831 numeric
@attribute att841 numeric
@attribute att851 numeric
@attribute att861 numeric
@attribute att871 numeric
@attribute att881 numeric
@attribute att891 numeric
@attribute att901 numeric
@attribute att911 numeric
@attribute att921 numeric
@attribute att931 numeric
@attribute att941 numeric
@attribute att951 numeric
@attribute att961 numeric
@attribute att971 numeric
@attribute att981 numeric
@attribute att991 numeric
@attribute att1001 numeric
@attribute att1011 numeric
@attribute att1021 numeric
@attribute att1031 numeric
@attribute att1041 numeric
@attribute att1051 numeric
@attribute att1061 numeric
@attribute att1071 numeric
@attribute att1081 numeric
@attribute att1091 numeric
@attribute att1101 numeric
@attribute att1111 numeric
@attribute att1121 numeric
@attribute att1131 numeric
@attribute att1141 numeric
@attribute att1151 numeric
@attribute att1161 numeric
@attribute att1171 numeric
@attribute att1181 numeric
@attribute att1191 numeric
@attribute class {alfa,AmaisB,AsobreB,beta,small}

@data
0.48971,0.02553,0.35632,0.36702,0.18269,0.37063,0,0.42408,0.19289,0.33014,0.37349,0.08392,0.2013,0.08759,0.40541,0.4491,0.29108,0.51266,0,0.45045,0.1934,0.34211,0.61609,0.33333,0.4863,0.29301,0.52601,0.11811,0.43228,0.27807,0.57227,0.73653,0.01242,0.59398,0.70536,0.85132,1,0.04545,0.55183,0.76944,0.60377,0.96078,0.40876,0.65665,0.28977,0.5702,0.2362,0.53134,0.05208,0.61563,0.71382,0.5302,0.96078,0.01242,0.5614,0.52157,0.63636,1,0.11811,0.43228,0.34061,0.57227,0.73653,0.67177,0.20526,0.41645,0.60623,0.48986,0.25,0.0127,0.54988,0.58874,0.87398,1,0.07059,0.3543,0.57734,0.49752,0.82081,0.05979,0.38772,0.571,0.6737,0.98681,0.55621,0.18275,0.29742,0.37143,0.47368,0.17512,0.07796,0.29938,0.55694,0.82389,0.938,0.18211,0.64009,0.69639,0.71967,0.981,0.04808,0.15275,0.35382,0.36235,1,0.52091,0.57346,0.50643,0.30398,0.43544,0.01905,0.64469,0.67327,0.79009,1,0.03607,0.38207,0.5467,0.59677,0.89362,alfa
0.13992,0.09787,0.45977,0.30319,0.76923,0.32168,0.08745,0.36126,0.52284,0.38278,0.40964,0.23776,0.37013,0.33577,0.18378,0.13772,0.21596,0.29114,0,0.30631,0.08396,0.57105,0.30805,0.48639,0.40411,0.49194,0.52023,0.12992,0.53314,0.47415,0.60547,1,0.17081,0.35088,0.76116,0.86331,0.8964,0.04091,0.6311,0.42222,0.57412,0.9281,0.51825,0.35408,0.60227,0.49857,0.53067,0.46567,0.04688,0.40625,0.30263,0.54698,0.9281,0.20807,0.49624,0.75882,0.56182,0.60078,0.12992,0.53314,0.58079,0.60547,1,0.34573,0.37368,0.67639,0.35694,0.50338,0.63056,0.2127,0.4594,0.83766,0.84553,0.80815,0.17647,0.48344,0.46405,0.5198,0.80347,0.01856,0.23225,0.46487,0.74088,1,0.40398,0.26901,0.38056,0,0.52632,0.42857,0.2027,0.27443,0.57143,0.65088,0.989,0.02478,0.06142,0.40234,0.81799,0.885,0.09615,0.23625,0.50332,0.54049,1,0.31939,0.59242,0.31362,0.36059,0.6997,0.31905,0.37363,0.7302,0.70554,0.56757,0.14754,0.52632,0.4944,0.59032,0.85532,AsobreB
0.2716,0.05957,0.32759,0.53191,0.35577,0.22028,0.12167,0.24084,0.40609,0.42584,0.31325,0.27972,0.33766,0.16788,0.23243,0.25749,0.24413,0.52532,0.18333,0.38739,0.47676,0.53947,0.4,0.39796,0.45548,0.43011,0.48555,0.05118,0.64841,0.58824,0.89258,1,0.00311,0.49373,0.6808,0.68585,0.98649,0.04091,0.49085,0.45278,0.60647,0.9085,0.45255,0.40129,0.59091,0.43266,0.52761,0.51045,0.04688,0.50313,0.41118,0.52013,0.98039,0.00311,0.45865,0.57647,0.53636,0.82171,0.05118,0.64841,0.74017,0.875,1,0.35667,0.52105,0.5756,0.37394,0.45608,0.55833,0.00317,0.53132,0.66017,0.75813,0.8705,0.01961,0.51987,0.51198,0.59901,1,0.01856,0.39539,0.6562,0.81958,0.99341,0.55738,0.1886,0.29157,0,0.64662,0.21198,0.06237,0.2474,0.57867,0.82595,0.997,0.02478,0.30603,0.53185,0.63494,0.828,0.01923,0.24847,0.46346,0.5,1,0.30228,0.70616,0.37275,0.34382,0.6036,0.00476,0.49817,0.69802,0.66472,0.75135,0.04262,0.46199,0.48194,0.62742,1,AsobreB
0.51029,0.04255,0.27586,0.45745,0.36538,0.23427,0.18251,0.19895,0.38579,0.18182,0.57831,0.13287,0.43506,0.07299,0.1027,0.17365,0.35681,0.72152,0.16667,0.34234,0.11094,0.31053,0.62529,0.35714,0.51027,0.22312,0.58671,0.03543,0.49856,0.45276,0.67969,1,0.08385,0.37343,0.6317,0.78177,0.78378,0.20909,0.55183,0.59167,0.53369,0.93464,0.39051,0.58798,0.39205,0.57593,0.37423,0.57015,0.23958,0.63125,0.62829,0.6745,0.93464,0.08385,0.25313,0.49804,0.51455,0.81395,0.03543,0.63401,0.59607,0.69727,1,0.49234,0.36842,0.58621,0.48725,0.39527,0.50833,0.0254,0.30162,0.38528,0.69919,0.88489,0.21961,0.64901,0.60784,0.60396,1,0.03505,0.62572,0.71001,0.80614,0.91648,0,0.5424,0.56557,0,0,0.52995,0,0,0,0,0,0.22629,0.43103,0.7983,0.91632,0.99,0.08654,0.19552,0.35382,0.31174,1,0.43916,0.52607,0.38303,0.40671,0.40541,0.0381,0.25275,0.48762,0.68513,0.74054,0.1541,0.40741,0.45081,0.50645,1,beta
0.17695,0.15319,0.28736,0.30319,0,0.32517,0.02662,0.37173,0.28934,0.27273,0.43373,0.44755,0.13636,0.15328,0.30811,0.51497,0.40376,0.36076,0.6,0.57658,0.16342,0.44211,0.51494,0.35034,0.55137,0.30108,0.30058,0.07874,0.45533,0.30303,0.68359,1,0.10559,0.56391,0.74777,0.80096,0.96847,0.02273,0.43598,0.47222,0.57143,0.81046,0.4781,0.51717,0.41761,0.38682,0.30061,0.53433,0.02604,0.44375,0.52632,0.44295,0.81046,0.10559,0.90476,0.76863,0.64909,0.97287,0.07874,0.4755,0.37118,0.68359,1,0.52298,0.29211,0.53581,0.41076,0.62838,0.37778,0.10794,0.52204,0.72511,0.79268,0.98321,0.05098,0.43709,0.54684,0.75743,1,0.05567,0.42035,0.50673,0.59501,0.95385,0.25059,0.48099,0.36417,0.4,0.32331,0.59447,0.31913,0.36383,0.68737,0.84552,0.971,0.03879,0.30819,0.50849,0.71757,0.907,0.05769,0.16293,0.40864,0.55668,1,0.42966,0.58294,0.38046,0.43606,0.51952,0.1619,0.49817,0.79455,0.69971,0.96216,0.01967,0.4308,0.47073,0.6871,1,beta
0.42387,0.05532,0.07471,0.54787,0.49038,0.17832,0,0.13613,0.52284,0.43062,0.61446,0.26573,0.16883,0.46715,0.27568,0.46108,0.23944,0.48734,0,0.11712,0.07046,0.61316,0.33333,0.40136,0.44521,0.5,0.3815,0.09843,0.39193,0.43137,0.42969,0.53892,0.1118,0.69173,0.76339,0.80815,1,0.05,0.53049,0.70278,0.86253,0.75163,0.34672,0.4721,0.58239,0.35244,0.39571,0.57015,0.05729,0.51875,0.63487,0.82886,0.75163,0.1118,0.69173,0.67059,0.60364,1,0.09843,0.39193,0.52838,0.42969,0.53892,0.38731,0.54474,0.56764,0.35977,0.53378,0.425,0.11429,0.40139,0.54545,0.64228,1,0.34902,0.45695,0.49455,0.84406,0.84971,0.02268,0.31094,0.62631,0.61036,0.69011,0.76581,0,0.23419,0,0.78195,0,0.05301,0.19958,0.41097,0.66014,0.859,0,0,0,0,0,0.11538,0.56415,0.84884,0.93927,1,0.27567,0.74408,0.34961,0.35849,0.50751,0.17143,0.78755,0.84653,0.77259,1,0.2918,0.39376,0.43587,0.51129,0.8383,alfa
0.30453,0.0383,0.41379,0.35638,0.26923,0.37413,0.05323,0.24084,0.25888,0.48804,0.25301,0.20979,0.25325,0.16788,0.35135,0.22156,0.3615,0.56962,0.15,0.33333,0.5997,0.44737,0.48046,0.39456,0.4863,0.33602,0.41329,0.01575,0.56196,0.43672,0.73828,0.98802,0,0.61654,0.73214,0.70264,1,0.03182,0.5122,0.55556,0.73046,0.96732,0.42701,0.5279,0.44318,0.44413,0.35276,0.50746,0.03646,0.51563,0.46053,0.64094,0.96732,0,0.63409,0.67451,0.55636,1,0.01575,0.48127,0.5131,0.73437,0.98802,0.54486,0.41842,0.45093,0.50142,0.42568,0.46111,0,0.61021,0.69481,0.73171,1,0.01569,0.31457,0.50327,0.65594,0.95954,0.04948,0.49712,0.59193,0.6833,0.98901,0.39696,0.28216,0.37822,0.54286,0.2782,0.36406,0.04782,0.2578,0.39441,0.6241,0.94,0.0097,0.14978,0.42144,0.68201,0.986,0.00962,0.5336,0.80066,0.79352,1,0.43156,0.6564,0.50386,0.31237,0.53153,0,0.73993,0.83416,0.74636,1,0.01311,0.30019,0.42466,0.65645,0.94043,AsobreB
0.24691,0.09362,0.27586,0.3883,0.33654,0.17832,0.11027,0.29843,0.40102,0.51675,0.19277,0.33566,0.40909,0.29927,0.18919,0.32335,0.22535,0.5,0.31667,0.31532,0.42579,0.48684,0.37701,0.5,0.35274,0.45968,0.47977,0.03543,0.47839,0.55971,0.75391,0.98204,0.00311,0.57143,0.6317,0.69065,0.95495,0.05,0.55183,0.58333,0.7035,1,0.5292,0.40343,0.52557,0.46991,0.50613,0.37612,0.05729,0.57188,0.49342,0.60067,1,0.00311,0.56391,0.54118,0.51455,0.93798,0.03543,0.47839,0.68559,0.78516,0.98204,0.31072,0.61053,0.51194,0.39943,0.29392,0.62778,0.00317,0.52204,0.50216,0.69309,0.94724,0.04706,0.3543,0.54684,0.59653,0.98266,0.01649,0.46641,0.69507,0.83109,1,0.43091,0.19006,0.41686,0,0.4812,0.26267,0.079,0.21102,0.49275,0.78476,0.921,0.01078,0.25,0.36412,0.6046,0.822,0.01923,0.42159,0.63787,0.65789,1,0.30038,0.7654,0.35219,0.30398,0.61261,0.00476,0.70696,0.66832,0.62099,0.91351,0.03934,0.35867,0.4944,0.64516,0.98723,AsobreB
0.11523,0,0.24138,0.45213,0.26923,0.24476,0.10646,0.36649,0.35533,0.4067,0.50602,0.39161,0.18182,0.10219,0.45946,0.2515,0.46479,0.62658,0,0.25225,0.05997,0.56053,0.34023,0.45578,0.42123,0.60484,0.35838,0.1063,0.20461,0.33155,0.67773,1,0.03727,0.5188,0.57366,0.72182,0.93694,0.37727,0.5122,0.45556,0.65768,0.72549,0.45985,0.38627,0.60511,0.32092,0.69018,0.54925,0.43229,0.67813,0.52632,0.57383,0.72549,0.03727,0.44862,0.47647,0.53818,0.94574,0.1063,0.20461,0.46725,0.67773,1,0.35886,0.42895,0.60212,0.34561,0.50338,0.39444,0.0381,0.41531,0.61688,0.72561,0.96643,0.16078,0.21523,0.2549,0.4505,0.6763,0.05361,0.56238,0.73991,0.90211,1,0.19789,0.51462,0.38993,0.82857,0.21805,0.65899,0.07277,0.10291,0.14596,0.57981,0.606,0.18211,0.34914,0.50849,0.78033,0.958,0.125,0.43177,0.56312,0.75101,1,0.23194,0.77014,0.37532,0.31237,0.6006,0.05714,0.43223,0.70545,0.66764,0.92432,0.13443,0.30019,0.34869,0.52258,0.7617,beta
0.22222,0.06809,0.17816,0.28723,0.51923,0.40559,0.17871,0.36649,0.15736,0.22488,0.27711,0.48951,0.4026,0.34307,0.16757,0.28144,0.29108,0.44304,0.51667,0.35135,0.14693,0.32895,0.57471,0.40816,0.46575,0.29839,0.50289,0.05906,0.30836,0.35829,0.69531,1,0.01863,0.65915,0.75,0.79137,0.8964,0.09545,0.41768,0.49167,0.56604,0.59477,0.44891,0.54292,0.40625,0.36963,0.40491,0.58806,0.10937,0.37813,0.38487,0.48322,0.59477,0.01863,0.69674,0.6902,0.57636,0.91085,0.05906,0.33141,0.50655,0.75586,1,0.42013,0.42368,0.53316,0.45042,0.32432,0.33056,0.01905,0.68213,0.7619,0.76829,0.94484,0.05882,0.22517,0.36601,0.57673,1,0.05979,0.17658,0.60538,0.80998,0.98242,0,0.66813,0.46487,0,0,0.57604,0,0,0,0,0,0.02478,0.18427,0.38641,0.76255,0.946,0.06731,0.51731,0.63455,0.61943,1,0.38023,0.64929,0.41645,0.21803,0.42342,0.02857,0.79487,0.87129,0.70845,0.87568,0.04918,0.30604,0.39477,0.52742,1,beta
