K	Fitness	Objective	Algorithm	Base	Cluster	AlgorithmParameters	Time(s)
2	0.669196	CorrectRand	AntColonyOptimization	Lung_Cancer	[0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	ACO MST(false) AFN(true) Alpha(0.500000) Beta(0.500000) Ro(0.200000)	   0.37900
2	0.255814	CorrectRand	BeeColonyOptimization	Lung_Cancer	[0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1]	BCO TurnsMaxNotImproved(5)	   0.21700
2	0.255814	CorrectRand	CoralReefOptimization	Lung_Cancer	[0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0]	CRO dimension(25) InsertRand(false) InsertRank(true) Rho(0.900000) Fa-repication(0.500000) Fb-broadcast(0.800000) Fd-depredation(0.050000) StepsUntilDepredation(1)	   0.01600
2	0.255814	CorrectRand	CoralReefOptimization	Lung_Cancer	[0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0]	CRO dimension(25) InsertRand(true) InsertRank(false) Rho(0.900000) Fa-repication(0.500000) Fb-broadcast(0.800000) Fd-depredation(0.100000) StepsUntilDepredation(5)	   0.00000
2	0.255814	CorrectRand	CoralReefOptimization	Lung_Cancer	[0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1]	CRO dimension(25) InsertRand(false) InsertRank(true) Rho(0.900000) Fa-repication(0.500000) Fb-broadcast(0.800000) Fd-depredation(0.100000) StepsUntilDepredation(5)	   0.00000
2	0.255814	CorrectRand	GeneticAlgorithm	Lung_Cancer	[0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1]	AG Crossover(0.900000) Mutation(0.100000)	   0.00000
2	0.255814	CorrectRand	ParticleSwarmOptimization	Lung_Cancer	[0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1]	PSO P-OwnWay(0.950000) P-PreviousPosition(0.050000) P-BestPosition(0.000000)	   0.04700
3	0.860726	CorrectRand	AntColonyOptimization	Lung_Cancer	[0, 1, 1, 0, 0, 2, 2, 2, 1, 1, 1, 0, 1, 1, 1, 0, 2, 1, 1, 1, 1, 1, 0, 1, 0, 2, 0, 0, 1, 0, 1, 0]	ACO MST(false) AFN(true) Alpha(0.500000) Beta(0.500000) Ro(0.200000)	   0.07800
3	0.204861	CorrectRand	BeeColonyOptimization	Lung_Cancer	[0, 1, 2, 1, 0, 0, 2, 1, 2, 0, 1, 0, 1, 2, 1, 0, 1, 0, 2, 2, 1, 2, 2, 2, 1, 2, 1, 1, 0, 1, 0, 0]	BCO TurnsMaxNotImproved(5)	   0.15600
3	0.208333	CorrectRand	CoralReefOptimization	Lung_Cancer	[0, 1, 1, 2, 2, 1, 0, 2, 1, 2, 0, 1, 2, 2, 2, 0, 1, 2, 0, 1, 0, 1, 0, 1, 2, 2, 0, 1, 2, 1, 2, 0]	CRO dimension(25) InsertRand(false) InsertRank(true) Rho(0.900000) Fa-repication(0.500000) Fb-broadcast(0.800000) Fd-depredation(0.050000) StepsUntilDepredation(1)	   0.00000
3	0.222591	CorrectRand	CoralReefOptimization	Lung_Cancer	[0, 1, 0, 2, 0, 1, 1, 1, 1, 2, 1, 0, 0, 1, 2, 1, 1, 2, 0, 1, 1, 0, 1, 2, 2, 2, 1, 1, 1, 0, 0, 1]	CRO dimension(25) InsertRand(true) InsertRank(false) Rho(0.900000) Fa-repication(0.500000) Fb-broadcast(0.800000) Fd-depredation(0.100000) StepsUntilDepredation(5)	   0.00000
3	0.219178	CorrectRand	CoralReefOptimization	Lung_Cancer	[0, 1, 0, 2, 1, 2, 2, 0, 0, 0, 2, 2, 0, 2, 0, 0, 0, 2, 2, 1, 1, 2, 1, 1, 2, 2, 2, 2, 0, 0, 1, 0]	CRO dimension(25) InsertRand(false) InsertRank(true) Rho(0.900000) Fa-repication(0.500000) Fb-broadcast(0.800000) Fd-depredation(0.100000) StepsUntilDepredation(5)	   0.01600
3	0.212329	CorrectRand	GeneticAlgorithm	Lung_Cancer	[0, 0, 1, 2, 1, 0, 1, 0, 2, 0, 2, 2, 0, 0, 0, 1, 0, 2, 0, 1, 1, 2, 1, 2, 0, 0, 1, 1, 0, 0, 2, 2]	AG Crossover(0.900000) Mutation(0.100000)	   0.00000
3	0.204861	CorrectRand	ParticleSwarmOptimization	Lung_Cancer	[0, 1, 2, 2, 0, 2, 0, 1, 1, 0, 2, 0, 2, 0, 1, 0, 2, 1, 2, 0, 1, 1, 0, 1, 0, 2, 2, 0, 1, 1, 0, 2]	PSO P-OwnWay(0.950000) P-PreviousPosition(0.050000) P-BestPosition(0.000000)	   0.01500
4	0.777445	CorrectRand	AntColonyOptimization	Lung_Cancer	[0, 1, 1, 1, 2, 3, 2, 0, 2, 2, 2, 1, 3, 1, 2, 1, 2, 1, 2, 2, 2, 3, 3, 3, 0, 3, 3, 3, 2, 3, 3, 3]	ACO MST(false) AFN(true) Alpha(0.500000) Beta(0.500000) Ro(0.200000)	   0.04700
4	0.172414	CorrectRand	BeeColonyOptimization	Lung_Cancer	[0, 1, 2, 3, 1, 1, 0, 3, 2, 3, 1, 0, 3, 2, 2, 0, 1, 1, 1, 0, 3, 2, 0, 3, 2, 1, 2, 1, 3, 2, 1, 0]	BCO TurnsMaxNotImproved(5)	   0.01600
4	0.196970	CorrectRand	CoralReefOptimization	Lung_Cancer	[0, 0, 0, 1, 2, 3, 2, 1, 0, 2, 0, 3, 0, 0, 2, 1, 1, 0, 0, 3, 2, 2, 2, 3, 3, 0, 3, 3, 0, 1, 0, 2]	CRO dimension(25) InsertRand(false) InsertRank(true) Rho(0.900000) Fa-repication(0.500000) Fb-broadcast(0.800000) Fd-depredation(0.050000) StepsUntilDepredation(1)	   0.00000
4	0.189394	CorrectRand	CoralReefOptimization	Lung_Cancer	[0, 0, 1, 2, 0, 1, 3, 1, 3, 1, 2, 1, 0, 3, 0, 1, 2, 3, 3, 2, 1, 1, 1, 1, 3, 3, 2, 0, 1, 2, 2, 1]	CRO dimension(25) InsertRand(true) InsertRank(false) Rho(0.900000) Fa-repication(0.500000) Fb-broadcast(0.800000) Fd-depredation(0.100000) StepsUntilDepredation(5)	   0.00000
