K	Fitness	Objective	Algorithm	Base	Cluster	AlgorithmParameters	Time(s)
2	0.773969	CorrectRand	AntColonyOptimization	Lung_Cancer	[0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	ACO MST(false) AFN(true) Alpha(0.500000) Beta(0.500000) Ro(0.200000)	   1.14000
2	0.362379	CorrectRand	GeneticAlgorithm	Lung_Cancer	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	AG Crossover(0.900000) Mutation(0.100000)	   0.70300
2	0.362379	CorrectRand	BeeColonyOptimization	Lung_Cancer	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	BCO TurnsMaxNotImproved(5)	   4.42200
2	0.409629	CorrectRand	CoralReefOptimization	Lung_Cancer	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]	CRO dimension(25) InsertRand(false) InsertRank(true) Rho(0.900000) Fa-repication(0.500000) Fb-broadcast(0.800000) Fd-depredation(0.050000) StepsUntilDepredation(1)	   0.01500
2	0.401518	CorrectRand	CoralReefOptimization	Lung_Cancer	[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	CRO dimension(25) InsertRand(true) InsertRank(false) Rho(0.900000) Fa-repication(0.500000) Fb-broadcast(0.800000) Fd-depredation(0.100000) StepsUntilDepredation(5)	   0.06200
2	0.362379	CorrectRand	CoralReefOptimization	Lung_Cancer	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	CRO dimension(25) InsertRand(false) InsertRank(true) Rho(0.900000) Fa-repication(0.500000) Fb-broadcast(0.800000) Fd-depredation(0.100000) StepsUntilDepredation(5)	   0.12500
2	0.362379	CorrectRand	ParticleSwarmOptimization	Lung_Cancer	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	PSO P-OwnWay(0.950000) P-PreviousPosition(0.050000) P-BestPosition(0.000000)	   1.03200
2	0.755672	CorrectRand	AntColonyOptimization	Lung_Cancer	[0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0]	ACO MST(false) AFN(true) Alpha(0.500000) Beta(0.500000) Ro(0.200000)	   0.20300
2	0.362379	CorrectRand	GeneticAlgorithm	Lung_Cancer	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	AG Crossover(0.900000) Mutation(0.100000)	   0.11000
2	0.472254	CorrectRand	BeeColonyOptimization	Lung_Cancer	[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	BCO TurnsMaxNotImproved(5)	   2.46900
2	0.472254	CorrectRand	CoralReefOptimization	Lung_Cancer	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	CRO dimension(25) InsertRand(false) InsertRank(true) Rho(0.900000) Fa-repication(0.500000) Fb-broadcast(0.800000) Fd-depredation(0.050000) StepsUntilDepredation(1)	   0.03100
2	0.494835	CorrectRand	CoralReefOptimization	Lung_Cancer	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	CRO dimension(25) InsertRand(true) InsertRank(false) Rho(0.900000) Fa-repication(0.500000) Fb-broadcast(0.800000) Fd-depredation(0.100000) StepsUntilDepredation(5)	   0.03100
2	0.453403	CorrectRand	CoralReefOptimization	Lung_Cancer	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	CRO dimension(25) InsertRand(false) InsertRank(true) Rho(0.900000) Fa-repication(0.500000) Fb-broadcast(0.800000) Fd-depredation(0.100000) StepsUntilDepredation(5)	   0.07800
2	0.362379	CorrectRand	ParticleSwarmOptimization	Lung_Cancer	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	PSO P-OwnWay(0.950000) P-PreviousPosition(0.050000) P-BestPosition(0.000000)	   1.50000
3	0.789439	CorrectRand	AntColonyOptimization	Lung_Cancer	[0, 1, 0, 0, 1, 1, 2, 1, 1, 0, 0, 2, 2, 2, 2, 2, 0, 2, 2, 0, 0, 0, 1, 1, 1, 1, 0, 1, 2, 0, 1, 1]	ACO MST(false) AFN(true) Alpha(0.500000) Beta(0.500000) Ro(0.200000)	   0.14000
3	0.000000	CorrectRand	GeneticAlgorithm	Lung_Cancer	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]	AG Crossover(0.900000) Mutation(0.100000)	   0.26500
3	0.250763	CorrectRand	BeeColonyOptimization	Lung_Cancer	[0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 0, 2, 2, 1, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	BCO TurnsMaxNotImproved(5)	   6.73400
3	0.073808	CorrectRand	CoralReefOptimization	Lung_Cancer	[0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	CRO dimension(25) InsertRand(false) InsertRank(true) Rho(0.900000) Fa-repication(0.500000) Fb-broadcast(0.800000) Fd-depredation(0.050000) StepsUntilDepredation(1)	   0.11000
3	0.074053	CorrectRand	CoralReefOptimization	Lung_Cancer	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2]	CRO dimension(25) InsertRand(true) InsertRank(false) Rho(0.900000) Fa-repication(0.500000) Fb-broadcast(0.800000) Fd-depredation(0.100000) StepsUntilDepredation(5)	   0.07800
3	0.160657	CorrectRand	CoralReefOptimization	Lung_Cancer	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 1, 0, 2, 2, 2]	CRO dimension(25) InsertRand(false) InsertRank(true) Rho(0.900000) Fa-repication(0.500000) Fb-broadcast(0.800000) Fd-depredation(0.100000) StepsUntilDepredation(5)	   0.15600
3	0.074053	CorrectRand	ParticleSwarmOptimization	Lung_Cancer	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2]	PSO P-OwnWay(0.950000) P-PreviousPosition(0.050000) P-BestPosition(0.000000)	   1.60900
3	0.721687	CorrectRand	AntColonyOptimization	Lung_Cancer	[0, 1, 2, 0, 0, 0, 1, 0, 1, 2, 2, 0, 2, 1, 1, 2, 2, 1, 2, 2, 2, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0]	ACO MST(false) AFN(true) Alpha(0.500000) Beta(0.500000) Ro(0.200000)	   0.21900
3	0.000000	CorrectRand	GeneticAlgorithm	Lung_Cancer	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]	AG Crossover(0.900000) Mutation(0.100000)	   0.25000
3	0.000000	CorrectRand	BeeColonyOptimization	Lung_Cancer	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]	BCO TurnsMaxNotImproved(5)	   5.03100
