@relation 'Segment Challenge.arff'

@attribute att01 numeric
@attribute att11 numeric
@attribute att21 numeric
@attribute att31 numeric
@attribute att41 numeric
@attribute att51 numeric
@attribute att61 numeric
@attribute att71 numeric
@attribute att81 numeric
@attribute att91 numeric
@attribute att101 numeric
@attribute att111 numeric
@attribute att121 numeric
@attribute att131 numeric
@attribute att141 numeric
@attribute att151 numeric
@attribute att161 numeric
@attribute att171 numeric
@attribute class {brickface,sky,foliage,cement,window,path,grass}

@data
0.14625,0.74167,0,0,0.03422,0.00022,0.13913,0.02403,0.20269,0.19206,0.23343,0.18005,0.72852,0.32388,0.40417,0.23343,0.27121,0.16839,path
0.09486,0.78333,0,0,0.03802,0.00061,0.0236,0.00033,0.12213,0.09562,0.11856,0.15121,0.64063,0.13948,0.78558,0.14286,0.393,0.97042,grass
0.18972,0.53333,0,0,0.0057,0.00008,0.00745,0.00006,0.0031,0,0.00884,0,0.84961,0.15603,0.55598,0.00884,0.77778,0.16073,foliage
0.24506,0.87083,0,0,0.10456,0.01539,0.08199,0.00439,0.05706,0.04781,0.04271,0.08106,0.78711,0.0721,0.75142,0.07658,0.48672,0.86939,grass
0.63241,0.51667,0,0,0.0019,0.00014,0.00248,0.00012,0.00878,0.00567,0.01988,0,0.84766,0.18322,0.51423,0.01988,1,0.20679,window
0.9249,0.32083,0,0,0.02091,0.00024,0.02112,0.00024,0.01936,0.00324,0.04271,0.01013,0.75,0.24468,0.51044,0.04271,0.93849,0.13109,foliage
0.26087,0.0875,0,0,0.03232,0.00107,0.03975,0.00095,0.87994,0.83955,0.94256,0.85113,0.28711,0.6383,0.32827,0.94256,0.19063,0.12023,sky
0.73913,0.7125,0,0,0.05513,0.00075,0.09317,0.00153,0.40434,0.37844,0.48012,0.3484,0.55078,0.58865,0.1518,0.48012,0.31428,0.17813,path
0.85375,0.975,0.33333,0.5,0.10837,0.00304,0.04845,0.0009,0.06791,0.05429,0.04713,0.10288,0.75195,0.04374,0.83112,0.0972,0.57277,0.86538,grass
0.03162,0.66667,0,0,0.05133,0.00101,0.06211,0.00118,0.32017,0.29903,0.37923,0.27747,0.61328,0.48818,0.25237,0.37923,0.30794,0.17489,path
0.58498,0.44167,0.66667,0,0.02852,0.00026,0.02236,0.00032,0.14795,0.15397,0.17452,0.1138,0.86719,0.29078,0.32258,0.17452,0.38263,0.24872,brickface
0.5336,0.53333,0,0,0.02281,0.00018,0.01739,0.00015,0.03718,0.04781,0.04271,0.02104,0.9375,0.16312,0.4592,0.04566,0.5668,0.3451,brickface
0.8419,0.28333,0,0,0.04373,0.00087,0.02981,0.00038,0.03382,0.01459,0.06112,0.02338,0.72266,0.26714,0.50095,0.06112,0.79167,0.1278,foliage
0.46245,0.475,0,0,0.01141,0.0003,0.01988,0.00025,0.008,0,0.02062,0.00234,0.8125,0.19031,0.537,0.02062,1,0.14698,foliage
0.32411,0.175,0,0,0.01901,0.00046,0.01615,0.00035,0.86057,0.81929,0.91605,0.84022,0.28711,0.59929,0.39089,0.91605,0.18722,0.11015,sky
0.27273,0.1125,0,0,0.04183,0.00027,0.02236,0.00055,0.40434,0.36467,0.49264,0.3484,0.45117,0.64894,0.1518,0.49264,0.33602,0.16342,cement
0.37549,0.30417,0,0,0.05133,0.00129,0.03602,0.00165,0.16628,0.1718,0.19882,0.12627,0.85742,0.32388,0.27894,0.19882,0.39879,0.24459,brickface
0.59289,0.49167,0,0,0.27567,0.00821,0.01615,0.0006,0.22334,0.20097,0.27246,0.19252,0.63672,0.41726,0.34345,0.27246,0.33841,0.16337,cement
0.3834,0.55417,0,0,0.0076,0.00003,0.00745,0.00006,0.00697,0,0.01988,0,0.82031,0.19149,0.52751,0.01988,1,0.16073,foliage
0.57312,0.5375,0,0,0.03612,0.00047,0.02236,0.00042,0.04415,0.05754,0.0486,0.0265,0.95508,0.15957,0.44782,0.05449,0.53702,0.36129,brickface
0.63636,0.94167,0.33333,0,0.07795,0.00115,0.05963,0.00185,0.09218,0.07942,0.06627,0.13172,0.75,0.02482,0.86338,0.12445,0.47283,0.852,grass
0.6087,0.06667,0,0,0.03612,0.00024,0.0323,0.00018,0.95869,0.96678,0.97128,0.93608,0.61133,0.41608,0.37002,0.97128,0.09847,0.15188,sky
0.32411,0.77917,0,0,0.08175,0.00151,0.10807,0.00217,0.41673,0.38736,0.49043,0.36633,0.52148,0.58156,0.19165,0.49043,0.29631,0.16815,path
0.36759,0.3875,0,0,0.22624,0.00143,0.02236,0.00037,0.38859,0.35656,0.46097,0.34217,0.51172,0.56856,0.22201,0.46097,0.30307,0.16224,cement
0.86561,0.41667,0,0,0.08745,0.00167,0.05093,0.00115,0.2063,0.18558,0.25331,0.17615,0.6543,0.40307,0.34915,0.25331,0.34933,0.16575,cement
0.6166,0.30833,0,0,0.04183,0.00125,0.00497,0.00012,0.13194,0.10616,0.1782,0.10756,0.64258,0.3818,0.39469,0.1782,0.45902,0.14948,window
0.06719,0.55833,0,0,0.01331,0.00002,0.01366,0.00027,0.02737,0.04052,0.02651,0.01559,0.95898,0.13002,0.49146,0.03682,0.60053,0.41855,brickface
0.37154,0.75,0,0.5,0.10837,0.00281,0.13416,0.00374,0.42009,0.3825,0.50515,0.36555,0.46094,0.63712,0.16129,0.50515,0.32087,0.16357,path
0.43874,0.1125,0,0,0.37833,0.01117,0.02484,0.00077,0.45056,0.42464,0.51988,0.4014,0.53516,0.56856,0.19924,0.51988,0.27166,0.17014,cement
0.81028,0.50833,0,0,0.0019,0.00014,0.00124,0.0001,0.00258,0,0.00736,0,0.85352,0.1513,0.55977,0.00736,1,0.16073,window
0.87352,0.55833,0,0,0,0,0,0,0,0,0,0,0.87305,0.12766,0.57875,0,0,0.51517,window
0.85375,0.82083,0,0,0.08555,0.00218,0.05963,0.00176,0.11206,0.09238,0.09573,0.14809,0.69336,0.07565,0.83681,0.13991,0.40213,0.90625,grass
0.74308,0.73333,0,0,0.04183,0.00101,0.06832,0.00172,0.33824,0.32172,0.39691,0.2915,0.64063,0.49054,0.22201,0.39691,0.30576,0.1856,path
0.87352,0.34167,0,0,0.05894,0.00006,0.00373,0.00002,0.01704,0.00729,0.03608,0.00624,0.79688,0.2234,0.49905,0.03608,0.8784,0.164,window
0.37945,0.49583,0,0,0.02471,0.00051,0.0236,0.00049,0.0408,0.05348,0.04566,0.02338,0.95117,0.16076,0.44972,0.05081,0.57011,0.35219,brickface
0.07905,0.22083,0,0,0.55704,0.01306,0.45217,0.01272,0.21611,0.1799,0.25184,0.21278,0.53906,0.35106,0.54459,0.25184,0.40075,0.07621,foliage
0.37549,0.75833,0,0,0.04563,0.00112,0.04099,0.00133,0.43713,0.39951,0.52209,0.3827,0.45508,0.64066,0.16129,0.52209,0.31029,0.16233,path
0.1581,0.57917,0,0,0.06084,0.00196,0.04845,0.00108,0.14459,0.11831,0.19367,0.11769,0.63477,0.39834,0.37571,0.19367,0.44157,0.15388,cement
0.60474,0.45417,0,0,0.01521,0.00003,0.00994,0.00009,0.04157,0.05673,0.04492,0.02338,0.96875,0.15366,0.44402,0.05155,0.56944,0.37633,brickface
0.53755,0.22917,0,0,0.08935,0.00307,0.06584,0.0028,0.19804,0.18476,0.25331,0.15199,0.71094,0.4409,0.2334,0.25331,0.43056,0.20294,brickface
0.17787,0.94583,0,0,0.03612,0.00083,0.04845,0.00131,0.09244,0.0705,0.08395,0.12237,0.68359,0.10875,0.79317,0.11561,0.44551,0.93964,grass
1,0.61667,0,0,0.12167,0.0076,0.33168,0.11015,0.25536,0.22853,0.30633,0.22681,0.59375,0.43381,0.35863,0.30633,0.29485,0.12308,path
0.68775,0.0125,0,0,0.03042,0.00081,0.02733,0.00056,0.79345,0.73015,0.87555,0.76617,0.15039,0.71158,0.34345,0.87555,0.24216,0.11052,sky
0.95652,0.15417,0,0,0.04183,0.00021,0.02857,0.00091,0.9401,0.93031,0.96833,0.91816,0.48828,0.487,0.37571,0.96833,0.12697,0.12959,sky
0.87747,0.68333,0,0,0.12928,0.00315,0.16025,0.00338,0.40331,0.37034,0.48233,0.35074,0.5,0.60402,0.17647,0.48233,0.31283,0.16666,path
0.99209,0.6875,0,0.5,0.06464,0.00116,0.11304,0.00206,0.36897,0.33793,0.44404,0.31878,0.52539,0.57683,0.19545,0.44404,0.32042,0.16797,path
0.73123,0.8625,0,0,0.03992,0.00075,0.02609,0.00047,0.09553,0.0778,0.08395,0.12471,0.71289,0.09456,0.78748,0.11782,0.40135,0.91839,grass
0.41897,0.04167,0,0,0.02281,0.00052,0.02609,0.00029,0.88382,0.84441,0.94035,0.86048,0.29297,0.60993,0.36812,0.94035,0.18402,0.11403,sky
0.32806,0.16667,0,0,0.06084,0.00164,0.05963,0.00064,0.17945,0.16532,0.23269,0.1364,0.71094,0.42671,0.25617,0.23269,0.44612,0.19819,brickface
0.61265,0.0875,0,0,0.02662,0.00016,0.05839,0.00075,0.95017,0.94652,0.96981,0.93141,0.5293,0.44799,0.39848,0.96981,0.11306,0.12919,sky
0.05138,0.51667,0,0,0.00951,0.00006,0.00621,0.00005,0.02014,0.01216,0.03976,0.00701,0.80859,0.22695,0.48197,0.03976,0.83228,0.18372,window
0.55731,0.71667,0.33333,0,0.03422,0.00088,0.03478,0.00107,0.30106,0.29336,0.34462,0.26189,0.7168,0.40898,0.27894,0.34462,0.28154,0.19571,path
0.75099,0.15,0,0,0.01521,0.00039,0.02484,0.00028,0.9463,0.94084,0.96981,0.92517,0.51758,0.46572,0.3814,0.96981,0.1184,0.13228,sky
0.44269,0.4875,0,0,0.0076,0.00007,0.0087,0.00011,0.00516,0,0.01473,0,0.83398,0.17494,0.5408,0.01473,1,0.16073,foliage
0.89723,0.42917,0,0,0.01331,0.00006,0.01863,0.00009,0.04105,0.05105,0.04934,0.0226,0.93164,0.17731,0.44213,0.04934,0.56746,0.32024,brickface
0.05138,0.20417,0,0,0.01901,0.00079,0.0236,0.00005,0.13478,0.13776,0.16421,0.10055,0.84961,0.30142,0.32258,0.16421,0.41925,0.24044,brickface
0.94862,0.55833,0,0,0,0,0,0,0,0,0,0,0.87305,0.12766,0.57875,0,0,0.51517,window
0.78261,0.35833,0.33333,0,0.09316,0.00127,0.01118,0.00013,0.33333,0.33549,0.35862,0.30397,0.77734,0.32861,0.34915,0.35862,0.19935,0.20433,cement
0.89723,0.32917,0,0,0.06274,0.00223,0.04969,0.00178,0.11748,0.094,0.162,0.09275,0.66406,0.36998,0.39279,0.162,0.47555,0.15594,window
0.59289,0.73333,0,0,0.04183,0.00075,0.04596,0.00075,0.08107,0.06807,0.06406,0.11146,0.75195,0.06501,0.79696,0.1053,0.42836,0.88014,grass
0.93281,0.3,0,0,0.02471,0.00042,0.13043,0.01509,0.06894,0.04376,0.11267,0.04677,0.66797,0.35461,0.41366,0.11267,0.67658,0.15128,window
