@relation 'Statlog Australian Credit Approval.arff'

@attribute att01 {0,1}
@attribute att11 numeric
@attribute att21 numeric
@attribute att31 {1,2,3}
@attribute att41 {1,2,3,4,5,6,7,8,9,10,11,12,13,14}
@attribute att51 {1,2,3,4,5,6,7,8,9}
@attribute att61 numeric
@attribute att71 {0,1}
@attribute att81 {0,1}
@attribute att91 numeric
@attribute att101 {0,1}
@attribute att111 {1,2,3}
@attribute att121 numeric
@attribute att131 numeric
@attribute class {0,1}

@data
1,0.12526,0.40929,2,4,4,0.05561,0,0,0,1,2,0.05,0.01212,0
0,0.13414,0.25,2,8,4,0.00579,0,0,0,0,2,0.08,0,0
0,0.23805,0.0625,1,4,4,0.04386,0,0,0,1,2,0.14,0,0
0,0.1191,0.41071,1,5,3,0,1,1,0.16418,1,2,0,0,1
1,0.09654,0.29179,2,6,4,0.06877,1,1,0.20896,0,2,0.03,0.00158,1
0,0.03128,0.02089,2,8,8,0.05263,1,1,0.02985,0,2,0.05,0,1
1,0.05519,0.23214,2,3,4,0.00439,0,0,0,0,2,0.03,0.001,0
0,0.67549,0.15929,2,11,8,0.10667,1,1,0.08955,0,2,0.0215,0.0056,1
1,0.21173,0.03571,1,2,8,0.10526,0,0,0,0,2,0.088,0.00537,0
0,0.63158,0.25286,2,4,8,0.23684,1,1,0.04478,1,2,0.05,0.0005,0
1,0.29699,0.0625,2,14,8,0.15789,1,1,0.0597,1,2,0.1265,0.00857,1
1,0.41609,0.17857,2,11,8,0.17544,1,1,0.08955,1,2,0.235,0,1
1,0.10406,0.04464,1,8,8,0.04825,1,1,0.04478,1,2,0.07,0.0021,0
1,0.31835,0.17857,2,14,8,0.26316,1,1,0.08955,1,2,0,0.01,1
1,0.67414,0.09679,2,8,4,0.08474,0,0,0,1,2,0.16,0,0
1,0.51624,0.21571,2,4,4,0.0014,0,0,0,0,2,0,0.0269,1
1,0.23805,0.16071,2,9,4,0.26316,1,1,0.02985,1,2,0.165,0,1
0,0.07774,0.32143,2,6,4,0.02632,1,1,0.02985,0,2,0.044,0.00591,1
1,0.09398,0.04464,1,4,4,0.00439,0,0,0,0,2,0.07,0.00004,0
0,0.13038,0.20232,2,11,4,0.0907,1,1,0.10448,0,2,0.0645,0.03257,1
0,0.21684,0.02089,2,6,4,0.0014,0,0,0,0,2,0.13,0.01004,0
0,0.0815,0.02089,1,6,4,0.02053,1,0,0,1,2,0.08,0,0
1,0.41233,0.04768,2,2,4,0.00579,0,0,0,0,2,0.084,0,0
1,0.4185,0.0625,2,4,4,0.00737,1,0,0,0,2,0.08,0,0
1,0.08647,0.34232,2,6,4,0.02772,0,0,0,0,2,0.04,0.0035,0
1,0.28571,0.05357,2,13,8,0.19298,1,1,0.04478,1,2,0,0,1
1,0.13158,0.00446,1,4,4,0.00439,0,0,0,0,2,0.1,0.0007,0
1,0.29203,0.10857,1,8,8,0.07158,1,1,0.01493,1,2,0.09,0.18027,1
0,0.25444,0.42857,2,8,4,0.07018,1,1,0.01493,0,2,0.11,0.00019,1
1,0.1403,0.08929,2,8,4,0.03807,1,1,0.16418,1,2,0.03,0.02184,1
1,0.19925,0.02679,2,8,8,0.14912,1,1,0.04478,1,2,0.156,0.0015,1
0,0.1003,0.375,1,14,8,0,0,0,0,1,2,0.077,0.00032,0
1,0.58015,0.04911,1,8,8,0.33193,1,0,0,1,2,0.1,0.001,0
1,0.1403,0.41071,2,9,8,0.07456,1,1,0.16418,1,2,0.145,0.00284,1
1,0.43729,0.04464,2,7,4,0.48684,0,1,0.01493,1,2,0.176,0.00112,0
