@relation 'Statlog German Credit Data.arff'

@attribute att01 {A11,A12,A13,A14}
@attribute att11 numeric
@attribute att21 {A30,A31,A32,A33,A34}
@attribute att31 {A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A410}
@attribute att41 numeric
@attribute att51 {A61,A62,A63,A64,A65}
@attribute att61 {A71,A72,A73,A74,A75}
@attribute att71 numeric
@attribute att81 {A91,A92,A93,A94,A95}
@attribute att91 {A101,A102,A103}
@attribute att101 numeric
@attribute att111 {A121,A122,A123,A124}
@attribute att121 numeric
@attribute att131 {A141,A142,A143}
@attribute att141 {A151,A152,A153}
@attribute att151 numeric
@attribute att161 {A171,A172,A173,A174}
@attribute att171 numeric
@attribute att181 {A191,A192}
@attribute att191 {A201,A202}
@attribute class {1,2}

@data
A11,0.02941,A34,A43,0.05057,A65,A75,1,A93,A101,1,A121,0.85714,A143,A152,0.33333,A173,0,A192,A201,1
A12,0.64706,A32,A43,0.31369,A61,A73,0.33333,A92,A101,0.33333,A121,0.05357,A143,A152,0,A173,0,A191,A201,2
A14,0.11765,A34,A46,0.10157,A61,A74,0.33333,A93,A101,0.66667,A121,0.53571,A143,A152,0,A172,1,A191,A201,1
A11,0.55882,A32,A42,0.41994,A61,A74,0.33333,A93,A103,1,A122,0.46429,A143,A153,0,A173,1,A191,A201,1
A11,0.29412,A33,A40,0.25421,A61,A73,0.66667,A93,A101,1,A124,0.60714,A143,A153,0.33333,A173,1,A191,A201,2
A14,0.47059,A32,A46,0.48448,A65,A73,0.33333,A93,A101,1,A124,0.28571,A143,A153,0,A172,1,A192,A201,1
A14,0.29412,A32,A42,0.14224,A63,A75,0.66667,A93,A101,1,A122,0.60714,A143,A152,0,A173,0,A191,A201,1
A12,0.47059,A32,A41,0.36855,A61,A73,0.33333,A93,A101,0.33333,A123,0.28571,A143,A151,0,A174,0,A192,A201,1
A14,0.11765,A32,A43,0.15456,A64,A74,0.33333,A91,A101,1,A121,0.75,A143,A152,0,A172,0,A191,A201,1
A12,0.38235,A34,A40,0.27424,A61,A71,1,A94,A101,0.33333,A123,0.16071,A143,A152,0.33333,A174,0,A191,A201,2
A12,0.11765,A32,A40,0.0575,A61,A72,0.66667,A92,A101,0,A123,0.10714,A143,A151,0,A173,0,A191,A201,2
A11,0.64706,A32,A49,0.22329,A61,A72,0.66667,A92,A101,1,A122,0.08929,A143,A151,0,A173,0,A191,A201,2
A12,0.11765,A32,A43,0.07247,A61,A73,0,A92,A101,0,A123,0.05357,A143,A152,0,A173,0,A192,A201,1
A11,0.29412,A34,A40,0.05222,A61,A75,1,A93,A101,1,A123,0.73214,A143,A152,0.33333,A172,0,A191,A201,2
A11,0.16176,A32,A40,0.06344,A61,A73,0.33333,A92,A101,1,A123,0.16071,A143,A151,0,A173,0,A191,A201,1
A11,0.29412,A32,A43,0.05678,A62,A73,1,A92,A101,0.33333,A123,0.23214,A143,A152,0,A172,0,A191,A201,2
A14,0.29412,A34,A43,0.11962,A65,A75,1,A93,A101,1,A122,0.60714,A143,A152,0.33333,A173,0,A191,A201,1
A11,0.38235,A30,A49,0.4304,A65,A72,0.33333,A93,A101,0.66667,A123,0.10714,A141,A152,0.66667,A173,0,A191,A201,1
A12,0.29412,A32,A41,0.67839,A61,A75,1,A92,A101,0.33333,A124,0.44643,A143,A153,0,A174,0,A192,A201,2
A14,0.29412,A32,A43,0.17498,A63,A75,0.66667,A93,A101,0.33333,A123,0.21429,A143,A152,0,A173,1,A192,A201,1
A14,0.07353,A34,A40,0.10366,A61,A73,1,A93,A101,1,A123,0.51786,A143,A152,0.66667,A173,0,A192,A201,1
A11,0.02941,A32,A43,0.13189,A63,A73,0.33333,A93,A101,0.66667,A121,0.44643,A143,A151,0,A173,1,A191,A201,1
A11,0.08824,A34,A40,0.10955,A61,A72,0,A93,A101,0.66667,A121,0.51786,A143,A151,0.33333,A172,1,A191,A202,1
A12,0.11765,A34,A41,0.08551,A62,A72,0.66667,A93,A101,1,A122,0.44643,A143,A152,0,A173,0,A191,A201,1
A14,0.08824,A34,A42,0.10009,A65,A73,0.33333,A94,A101,0,A123,0.125,A143,A152,0.33333,A173,0,A191,A202,1
A11,0.02941,A32,A42,0.06185,A61,A73,0,A93,A101,0.33333,A121,0.30357,A141,A152,0,A172,0,A192,A201,1
A14,0.02941,A30,A43,0.00968,A61,A75,1,A94,A101,1,A123,0.35714,A143,A152,0,A172,0,A191,A201,1
A13,0.11765,A31,A43,0.00875,A64,A73,0.66667,A92,A101,0.66667,A121,0.41071,A143,A151,0.33333,A173,0,A191,A201,1
A12,0.04412,A32,A43,0.11913,A61,A73,0.66667,A93,A103,0.33333,A121,0.26786,A143,A152,0,A173,0,A191,A201,1
A11,0.82353,A33,A49,0.36239,A61,A75,0.66667,A93,A101,1,A124,0.78571,A143,A152,0.33333,A173,0,A192,A201,2
A12,0.20588,A32,A49,0.0915,A64,A72,0.66667,A94,A101,0.66667,A121,0.30357,A141,A152,0,A173,0,A192,A201,1
A11,0.29412,A32,A42,0.20744,A61,A73,0.33333,A93,A101,0.33333,A123,0.14286,A142,A152,0,A173,0,A191,A201,1
A12,0.20588,A32,A40,0.30901,A62,A73,0.33333,A93,A101,0.33333,A123,0.19643,A143,A152,0.33333,A173,0,A192,A201,1
A14,0.11765,A34,A49,0.05579,A65,A75,1,A93,A101,1,A124,0.67857,A143,A151,0,A172,0,A191,A201,1
A13,0.11765,A32,A42,0.06735,A61,A72,1,A92,A101,0,A122,0.25,A141,A152,0,A174,0,A192,A201,1
A12,0.60294,A34,A43,0.24739,A61,A72,1,A93,A101,0.33333,A122,0.10714,A143,A152,0.33333,A172,0,A191,A201,2
A14,0.64706,A34,A46,0.32244,A61,A73,0,A93,A101,0.66667,A124,0.21429,A141,A153,0,A173,0,A192,A201,1
A13,0.20588,A32,A43,0.10179,A61,A73,1,A93,A102,0.33333,A121,0.32143,A142,A152,0,A173,0,A191,A201,2
A13,0.08824,A32,A44,0.05365,A61,A73,0.33333,A93,A101,0.33333,A123,0.32143,A143,A152,0,A173,0,A192,A201,1
A12,0.07353,A32,A43,0.01144,A61,A73,1,A93,A101,0.66667,A121,0.08929,A143,A152,0,A173,0,A191,A201,1
A14,0.38235,A32,A43,0.11461,A63,A75,1,A93,A101,0.33333,A123,0.19643,A141,A152,0,A174,0,A191,A201,1
A12,0.11765,A32,A43,0.04996,A63,A73,0.66667,A91,A101,0,A123,0.125,A143,A152,0,A173,0,A192,A201,1
A12,0.20588,A33,A45,0.32761,A61,A73,0.33333,A93,A101,1,A121,0.44643,A143,A152,0,A172,1,A192,A201,1
A11,0.38235,A34,A41,0.32668,A62,A74,0,A94,A101,1,A123,0.08929,A143,A151,0.33333,A173,0,A191,A201,1
A11,0.64706,A34,A41,0.32425,A61,A75,1,A92,A101,1,A124,0.69643,A142,A153,0.33333,A172,0,A191,A201,2
A14,0.10294,A34,A40,0.06289,A61,A72,1,A92,A101,1,A123,0.28571,A143,A152,0.33333,A174,0,A191,A201,1
A14,0.47059,A32,A43,0.11274,A63,A75,1,A93,A101,1,A123,0.35714,A143,A152,0,A173,0,A191,A201,1
A11,0.02941,A32,A41,0.06064,A63,A71,0,A92,A101,0.33333,A122,0.07143,A143,A151,0,A171,0,A192,A201,1
A14,0.10294,A34,A40,0.38396,A61,A73,0,A93,A101,1,A122,0.35714,A143,A152,0.33333,A172,0,A191,A201,1
A14,0.11765,A32,A43,0.10031,A62,A73,1,A92,A102,0.33333,A121,0.16071,A143,A152,0,A173,0,A191,A201,1
