@relation Transfusion.arff

@attribute att01 numeric
@attribute att11 numeric
@attribute att21 numeric
@attribute class {0,1}

@data
0.02703,1,1,1
0,0.2449,0.27083,1
0.01351,0.30612,0.34375,1
0.02703,0.38776,0.44792,1
0.01351,0.46939,0.78125,0
0.05405,0.06122,0.02083,0
0.02703,0.12245,0.125,1
0.01351,0.22449,0.34375,0
0.02703,0.16327,0.20833,1
0.06757,0.91837,1,1
0.05405,0.44898,0.58333,0
0,0.04082,0.02083,0
0.02703,0.18367,0.27083,1
0.01351,0.2449,0.46875,0
0.02703,0.10204,0.13542,1
0.02703,0.08163,0.09375,1
0.02703,0.26531,0.47917,1
0.02703,0.28571,0.48958,1
0.02703,0.10204,0.13542,1
0.02703,0.04082,0.02083,1
0.02703,0.04082,0.02083,1
0.05405,0.20408,0.27083,0
0.02703,0.10204,0.14583,1
0.02703,0.10204,0.14583,1
0.12162,0.16327,0.14583,0
0.05405,0.26531,0.39583,0
0.05405,0.10204,0.125,0
0.05405,0.22449,0.33333,1
0.05405,0.08163,0.09375,1
0.05405,0.14286,0.19792,0
0.01351,0.26531,0.58333,0
0.05405,0.18367,0.27083,1
0.05405,0.18367,0.27083,1
0.05405,0.16327,0.25,1
0.02703,0.30612,0.64583,0
0.02703,0.14286,0.27083,1
0.02703,0.22449,0.46875,1
0.05405,0.10204,0.14583,1
0.02703,0.26531,0.57292,1
0.05405,0.12245,0.20833,1
0.02703,0.2449,0.53125,1
0.02703,0.08163,0.14583,0
0.02703,0.08163,0.14583,1
0.02703,0.08163,0.14583,0
0.05405,0.38776,0.69792,1
0.05405,0.16327,0.27083,1
0.02703,0.16327,0.35417,0
0.02703,0.02041,0,0
0.02703,0.02041,0,0
0.02703,0.02041,0,0
0.02703,0.20408,0.45833,0
0.02703,0.20408,0.45833,1
0.02703,0.10204,0.20833,0
0.02703,0.22449,0.52083,0
0.05405,0.08163,0.125,1
0.05405,0.36735,0.69792,1
0.05405,0.14286,0.25,1
0.02703,0.12245,0.27083,1
0.02703,0.30612,0.82292,0
0.04054,0.10204,0.19792,0
0.02703,0.12245,0.28125,0
0.02703,0.14286,0.34375,1
0.02703,0.18367,0.48958,0
0.05405,0.08163,0.14583,1
0.02703,0.04082,0.07292,1
0.04054,0.30612,0.75,0
0.02703,0.06122,0.125,1
0,0.02041,0.02083,0
0.05405,0.12245,0.23958,0
0.01351,0.16327,0.51042,0
0.02703,0.06122,0.14583,0
0.02703,0.06122,0.14583,0
0.05405,0.32653,0.71875,1
0.02703,0.02041,0.02083,0
0.02703,0.02041,0.02083,1
0.02703,0.02041,0.02083,1
0.02703,0.06122,0.14583,1
0.02703,0.02041,0.02083,0
0.02703,0.02041,0.02083,0
0.02703,0.02041,0.02083,0
0.05405,0.10204,0.21875,1
0.02703,0.06122,0.14583,0
0.02703,0.06122,0.14583,0
0.02703,0.06122,0.14583,0
0.02703,0.10204,0.27083,1
0.02703,0.10204,0.27083,0
0.05405,0.02041,0.02083,0
0.05405,0.02041,0.02083,0
0.05405,0.02041,0.02083,0
0.02703,0.12245,0.34375,1
0.05405,0.02041,0.02083,1
0.05405,0.02041,0.02083,0
0.05405,0.02041,0.02083,0
0.05405,0.02041,0.02083,0
0.16216,0.20408,0.21875,0
0.05405,0.12245,0.27083,0
0.04054,0.32653,0.875,0
0.05405,0.16327,0.375,1
0.05405,0.06122,0.125,1
0.06757,0.12245,0.25,1
0.05405,0.14286,0.33333,1
0.02703,0.2449,0.77083,1
0.05405,0.16327,0.39583,0
0.02703,0.08163,0.25,0
0.02703,0.08163,0.25,0
0.08108,0.32653,0.70833,0
0,0.14286,0.59375,0
0.04054,0.08163,0.25,0
0.02703,0.04082,0.125,0
0.02703,0.18367,0.64583,0
0.05405,0.08163,0.21875,1
0.05405,0.16327,0.45833,0
0.05405,0.08163,0.21875,0
0.05405,0.14286,0.39583,1
0.02703,0.22449,0.83333,0
0.14865,0.46939,0.64583,0
0.02703,0.12245,0.45833,1
0.05405,0.20408,0.61458,0
0.01351,0.12245,0.57292,0
0.02703,0.20408,0.80208,1
0.02703,0.04082,0.14583,1
0.05405,0.08163,0.25,1
0.02703,0.10204,0.40625,1
0.02703,0.08163,0.32292,1
0.02703,0.06122,0.25,0
0.02703,0.08163,0.33333,0
0.05405,0.14286,0.45833,1
0.02703,0.06122,0.25,0
0.05405,0.14286,0.47917,1
0.02703,0.02041,0.08333,1
0.05405,0.08163,0.27083,0
0.02703,0.22449,0.96875,0
0.02703,0.02041,0.08333,0
0.05405,0.10204,0.34375,0
0.02703,0.20408,0.89583,0
0.02703,0.04082,0.17708,0
0.02703,0.08163,0.36458,0
0.02703,0.22449,1,0
0.12162,0.08163,0.17708,0
0.02703,0.02041,0.09375,0
0.02703,0.16327,0.75,0
0.06757,0.26531,0.875,0
0.05405,0.04082,0.14583,0
0.05405,0.04082,0.14583,0
0.05405,0.02041,0.07292,1
0.05405,0.04082,0.14583,1
0.08108,0.04082,0.125,0
0.02703,0.02041,0.09375,0
0.02703,0.02041,0.09375,1
0.02703,0.02041,0.09375,0
0.02703,0.12245,0.58333,1
0.05405,0.10204,0.38542,0
0.05405,0.20408,0.79167,0
0.02703,0,0,1
0.02703,0,0,0
0.02703,0,0,0
0.02703,0,0,0
0.02703,0,0,0
0.02703,0,0,0
0.02703,0,0,0
0.02703,0,0,0
0.02703,0,0,0
0.02703,0,0,0
0.02703,0,0,1
0.02703,0,0,1
0.02703,0,0,1
0.02703,0,0,0
0.02703,0,0,0
0.02703,0,0,0
0.02703,0,0,0
