@relation Vehicle.arff

@attribute att01 numeric
@attribute att11 numeric
@attribute att21 numeric
@attribute att31 numeric
@attribute att41 numeric
@attribute att51 numeric
@attribute att61 numeric
@attribute att71 numeric
@attribute att81 numeric
@attribute att91 numeric
@attribute att101 numeric
@attribute att111 numeric
@attribute att121 numeric
@attribute att131 numeric
@attribute att141 numeric
@attribute att151 numeric
@attribute att161 numeric
@attribute att171 numeric
@attribute class {opel,van,saab,bus}

@data
0.3913,0.42308,0.36111,0.20524,0.17582,0.09434,0.1634,0.62857,0.08333,0.4,0.18947,0.11511,0.36478,0.17105,0.04545,0.21951,0.4,0.43333,van
0.67391,0.84615,0.95833,0.55022,0.21978,0.18868,0.69281,0.11429,0.58333,0.8,0.52632,0.6259,0.73585,0.10526,0.36364,0.53659,0.5,0.7,opel
0.69565,0.65385,0.73611,0.30131,0.07692,0.03774,0.71895,0.11429,0.66667,0.58571,0.65263,0.66067,0.61006,0.31579,0.18182,0.29268,0.33333,0.1,bus
0.73913,0.88462,0.90278,0.42795,0.15385,0.16981,0.71242,0.11429,0.66667,0.87143,0.54737,0.64868,0.6478,0.17105,0.68182,0.02439,0.43333,0.5,opel
0.19565,0.26923,0.45833,0.16157,0.10989,0.11321,0.26797,0.51429,0.16667,0.21429,0.22632,0.18945,0.27673,0.21053,0.5,0.21951,0.16667,0.2,opel
0.52174,0.84615,0.88889,0.50218,0.26374,0.13208,0.64706,0.17143,0.58333,0.75714,0.48421,0.56835,0.71698,0.19737,0.04545,0.58537,0.33333,0.5,saab
0.6087,0.84615,0.84722,0.34498,0.10989,0.20755,0.73856,0.11429,0.66667,0.84286,0.5,0.66787,0.59748,0.15789,0.22727,0.2439,0.33333,0.56667,opel
0.34783,0.5,0.52778,0.20087,0.17582,0.16981,0.31373,0.48571,0.25,0.6,0.21053,0.21942,0.42138,0.18421,0.22727,0.21951,0.3,0.43333,van
0.45652,0.46154,0.68056,0.47598,0.26374,0.0566,0.48366,0.25714,0.41667,0.38571,0.38947,0.41847,0.45912,0.15789,0.18182,0.31707,0.63333,0.56667,bus
0.28261,0.34615,0.33333,0.0786,0.07692,0.07547,0.23529,0.57143,0.16667,0.35714,0.21053,0.16187,0.38994,0.36842,0.04545,0.07317,0.1,0.03333,bus
0.67391,0.84615,0.83333,0.42358,0.20879,0.15094,0.66667,0.14286,0.58333,0.78571,0.49474,0.59472,0.7044,0.19737,0.04545,0.02439,0.3,0.43333,saab
0.67391,0.80769,0.70833,0.45852,0.21978,0.16981,0.69281,0.14286,0.58333,0.74286,0.48947,0.61511,0.54717,0.19737,0.18182,0.5122,0.36667,0.5,opel
0.45652,0.5,0.54167,0.33624,0.16484,0.11321,0.35948,0.4,0.25,0.42857,0.31579,0.28058,0.5283,0.10526,0.54545,0.36585,0.5,0.56667,opel
0.28261,0.19231,0.5,0.17031,0.13187,0.11321,0.19608,0.6,0.08333,0.18571,0.19474,0.14029,0.18239,0.15789,0.22727,0.2439,0.43333,0.5,van
0.36957,0.57692,0.52778,0.17031,0.14286,0.16981,0.32026,0.48571,0.25,0.58571,0.22105,0.22782,0.48428,0.21053,0.09091,0.04878,0.26667,0.4,van
0.21739,0.5,0.43056,0.22707,0.25275,0.07547,0.2549,0.51429,0.16667,0.41429,0.23158,0.18465,0.55975,0.27632,0.13636,0.26829,0.16667,0.16667,bus
0.67391,0.92308,0.875,0.51528,0.27473,0.18868,0.71242,0.11429,0.66667,0.84286,0.48947,0.64029,0.68553,0.17105,0.5,0.29268,0.33333,0.46667,opel
0.43478,0.46154,0.56944,0.31878,0.18681,0.09434,0.31373,0.42857,0.25,0.41429,0.26316,0.23861,0.49686,0.14474,0.5,0.26829,0.53333,0.6,saab
0.19565,0.23077,0.63889,0.15721,0.07692,0.09434,0.26797,0.54286,0.16667,0.22857,0.23158,0.18465,0.18868,0.15789,0.5,0.43902,0.23333,0.26667,opel
0.63043,0.69231,0.94444,0.38865,0.10989,0.15094,0.65359,0.14286,0.58333,0.62857,0.46842,0.57434,0.4717,0.09211,0.31818,0.5122,0.5,0.66667,opel
0.76087,0.80769,0.95833,0.37118,0.10989,0.16981,0.70588,0.14286,0.66667,0.8,0.52105,0.6295,0.66038,0.14474,0.54545,0.56098,0.43333,0.66667,saab
0.52174,0.46154,0.5,0.31004,0.14286,0.13208,0.29412,0.45714,0.25,0.44286,0.26316,0.22302,0.37736,0.05263,0.72727,0.29268,0.73333,0.83333,saab
0.26087,0.38462,0.36111,0.11354,0.10989,0.07547,0.2549,0.54286,0.16667,0.35714,0.22632,0.17866,0.37107,0.35526,0.18182,0.21951,0.13333,0.06667,bus
0.63043,0.80769,0.80556,0.31878,0.0989,0.15094,0.69935,0.14286,0.66667,0.75714,0.46842,0.6259,0.71698,0.17105,0.22727,0.41463,0.33333,0.5,opel
