K	Fitness	Objective	Algorithm	Base	Cluster	AlgorithmParameters	Time(s)
2	0.777292	CorrectRand	AntColonyOptimization	Lung_Cancer	[0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1]	ACO MST(false) AFN(true) Alpha(0.500000) Beta(0.500000) Ro(0.200000)	   0.53100
2	0.362379	CorrectRand	GeneticAlgorithm	Lung_Cancer	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	AG Crossover(0.900000) Mutation(0.100000)	   0.17100
2	0.362379	CorrectRand	BeeColonyOptimization	Lung_Cancer	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	BCO TurnsMaxNotImproved(5)	   2.62500
2	0.409629	CorrectRand	CoralReefOptimization	Lung_Cancer	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]	CRO dimension(25) InsertRand(false) InsertRank(true) Rho(0.900000) Fa-repication(0.500000) Fb-broadcast(0.800000) Fd-depredation(0.050000) StepsUntilDepredation(1)	   0.03100
2	0.401518	CorrectRand	CoralReefOptimization	Lung_Cancer	[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	CRO dimension(25) InsertRand(true) InsertRank(false) Rho(0.900000) Fa-repication(0.500000) Fb-broadcast(0.800000) Fd-depredation(0.100000) StepsUntilDepredation(5)	   0.06200
2	0.472254	CorrectRand	CoralReefOptimization	Lung_Cancer	[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	CRO dimension(25) InsertRand(false) InsertRank(true) Rho(0.900000) Fa-repication(0.500000) Fb-broadcast(0.800000) Fd-depredation(0.100000) StepsUntilDepredation(5)	   0.09300
2	0.362379	CorrectRand	ParticleSwarmOptimization	Lung_Cancer	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	PSO P-OwnWay(0.950000) P-PreviousPosition(0.050000) P-BestPosition(0.000000)	   0.96800
2	0.771173	CorrectRand	AntColonyOptimization	Lung_Cancer	[0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]	ACO MST(false) AFN(true) Alpha(0.500000) Beta(0.500000) Ro(0.200000)	   0.12500
2	0.362379	CorrectRand	GeneticAlgorithm	Lung_Cancer	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	AG Crossover(0.900000) Mutation(0.100000)	   0.06200
2	0.362379	CorrectRand	BeeColonyOptimization	Lung_Cancer	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	BCO TurnsMaxNotImproved(5)	   3.18800
